state_name,age_bracket,state_code,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_male,Literacy_rate_christian_male,Literacy_rate_hindu_male,Literacy_rate_jain_male,Literacy_rate_muslim_male,Literacy_rate_sikh_male
Arunachal Pradesh,age_34_plus,12,61.2289,64.1271,32.113,6.6667,37.2856,6.9498,38.7711,35.8729,67.887,93.3333,62.7144,93.0502
Nagaland,age_below10,13,79.0698,77.6953,78.0208,73.7113,90.0616,81.0811,20.9302,22.3047,21.9792,26.2887,9.9384,18.9189
Nagaland,age_10_13,13,21.5686,22.7951,20.226,2.8169,56.5679,21.4286,78.4314,77.2049,79.774,97.1831,43.4321,78.5714
Nagaland,age_14_17,13,14.7059,19.618,18.6207,3.4884,46.6495,29.5455,85.2941,80.382,81.3793,96.5116,53.3505,70.4545
Nagaland,age_18_21,13,8.1081,21.914,21.3265,2.439,40.0786,15.7895,91.8919,78.086,78.6735,97.561,59.9214,84.2105
Nagaland,age_22_25,13,10.7143,24.368,18.5689,2.3622,34.2977,18.3908,89.2857,75.632,81.4311,97.6378,65.7023,81.6092
Nagaland,age_26_29,13,9.5745,25.944,17.1349,0.0,32.4239,9.1954,90.4255,74.056,82.8651,100.0,67.5761,90.8046
Nagaland,age_30_33,13,14.2857,26.4893,14.8062,3.3333,37.6151,5.1852,85.7143,73.5107,85.1938,96.6667,62.3849,94.8148
Nagaland,age_34_plus,13,36.1111,39.7679,21.2727,3.9267,44.4752,9.0301,63.8889,60.2321,78.7273,96.0733,55.5248,90.9699
Manipur,age_below10,14,88.1481,82.806,79.545,69.2308,82.6293,77.3585,11.8519,17.194,20.455,30.7692,17.3707,22.6415
Manipur,age_10_13,14,20.6186,25.982,11.2784,5.3571,21.1069,12.5,79.3814,74.018,88.7216,94.6429,78.8931,87.5
Manipur,age_14_17,14,18.4211,17.0469,5.9791,1.6129,15.0666,8.8235,81.5789,82.9531,94.0209,98.3871,84.9334,91.1765
Manipur,age_18_21,14,22.6415,16.9041,6.4114,7.1429,14.522,8.0,77.3585,83.0959,93.5886,92.8571,85.478,92.0
Manipur,age_22_25,14,29.703,17.5155,6.7824,4.2857,13.5945,3.4483,70.297,82.4845,93.2176,95.7143,86.4055,96.5517
Manipur,age_26_29,14,19.4175,20.0503,8.086,2.4096,16.3265,4.7945,80.5825,79.9497,91.914,97.5904,83.6735,95.2055
Manipur,age_30_33,14,39.4366,22.388,9.1547,1.3699,20.0872,3.4146,60.5634,77.612,90.8453,98.6301,79.9128,96.5854
Manipur,age_34_plus,14,41.1067,32.8684,20.7621,3.8328,33.594,8.134,58.8933,67.1316,79.2379,96.1672,66.406,91.866
Mizoram,age_below10,15,86.8198,75.5189,75.2343,94.1176,88.6486,76.4706,13.1802,24.4811,24.7657,5.8824,11.3514,23.5294
Mizoram,age_10_13,15,41.7955,4.6103,9.8434,41.6667,47.1186,0.0,58.2045,95.3897,90.1566,58.3333,52.8814,100.0
Mizoram,age_14_17,15,35.7938,2.213,10.4497,25.0,30.8559,0.0,64.2062,97.787,89.5503,75.0,69.1441,100.0
Mizoram,age_18_21,15,31.199,2.359,22.1037,40.0,18.4433,33.3333,68.801,97.641,77.8963,60.0,81.5567,66.6667
Mizoram,age_22_25,15,31.9293,2.6192,36.4804,28.5714,17.0797,0.0,68.0707,97.3808,63.5196,71.4286,82.9203,100.0
Mizoram,age_26_29,15,34.4828,2.7992,28.6918,33.3333,17.0588,2.439,65.5172,97.2008,71.3082,66.6667,82.9412,97.561
Mizoram,age_30_33,15,40.7028,3.1695,15.5222,14.2857,18.2819,4.878,59.2972,96.8305,84.4778,85.7143,81.7181,95.122
Mizoram,age_34_plus,15,53.7232,5.429,13.805,35.8974,20.1777,9.322,46.2768,94.571,86.195,64.1026,79.8223,90.678
Tripura,age_below10,16,80.2822,74.7815,73.9589,67.4419,77.2564,80.0,19.7178,25.2185,26.0411,32.5581,22.7436,20.0
Tripura,age_10_13,16,24.9589,16.5053,9.6976,7.1429,15.0395,9.0909,75.0411,83.4947,90.3024,92.8571,84.9605,90.9091
Tripura,age_14_17,16,22.4707,13.0648,8.0431,0.0,15.7384,0.0,77.5293,86.9352,91.9569,100.0,84.2616,100.0
