state_name,age_bracket,state_code,Below_primary_share_total_male,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male,Child_labour_attending_total_male,Child_labour_dropout_total_male,Dropout_rate_total_male,Graduate_share_total_male,Illiteracy_rate_total_male,Literacy_rate_total_male,School_attendance_rate_total_male
Goa,age_22_25,30,4.6392,37.0244,33.5862,37.5466,,35.1461,26.6155,20.9061,26.3155,,,31.2242,26.496,,,,9.9329,6.4863,93.5137,
Goa,age_22_25,30,4.6392,37.0244,33.5862,37.5466,,35.1461,26.6155,20.9061,26.3155,,,31.2242,26.496,,,,9.9329,6.4863,93.5137,
Goa,age_22_25,30,4.6392,37.0244,33.5862,37.5466,,35.1461,26.6155,20.9061,26.3155,,,31.2242,26.496,,,,9.9329,6.4863,93.5137,
Goa,age_22_25,30,4.6392,37.0244,33.5862,37.5466,,35.1461,26.6155,20.9061,26.3155,,,31.2242,26.496,,,,9.9329,6.4863,93.5137,
Goa,age_22_25,30,4.6392,37.0244,33.5862,37.5466,,35.1461,26.6155,20.9061,26.3155,,,31.2242,26.496,,,,9.9329,6.4863,93.5137,
Goa,age_26_29,30,5.5949,23.074,23.4844,21.5552,,17.3696,27.3032,29.8536,27.66,,,24.33,25.98,,,,15.0078,7.961,92.039,
Goa,age_26_29,30,5.5949,23.074,23.4844,21.5552,,17.3696,27.3032,29.8536,27.66,,,24.33,25.98,,,,15.0078,7.961,92.039,
Goa,age_26_29,30,5.5949,23.074,23.4844,21.5552,,17.3696,27.3032,29.8536,27.66,,,24.33,25.98,,,,15.0078,7.961,92.039,
Goa,age_26_29,30,5.5949,23.074,23.4844,21.5552,,17.3696,27.3032,29.8536,27.66,,,24.33,25.98,,,,15.0078,7.961,92.039,
Goa,age_26_29,30,5.5949,23.074,23.4844,21.5552,,17.3696,27.3032,29.8536,27.66,,,24.33,25.98,,,,15.0078,7.961,92.039,
Goa,age_26_29,30,5.5949,23.074,23.4844,21.5552,,17.3696,27.3032,29.8536,27.66,,,24.33,25.98,,,,15.0078,7.961,92.039,
Goa,age_30_33,30,7.8364,15.1051,16.8723,13.9659,,12.3121,21.0555,25.1595,20.9403,,,17.4145,20.7572,,,,15.3177,9.9292,90.0708,
Goa,age_30_33,30,7.8364,15.1051,16.8723,13.9659,,12.3121,21.0555,25.1595,20.9403,,,17.4145,20.7572,,,,15.3177,9.9292,90.0708,
Goa,age_30_33,30,7.8364,15.1051,16.8723,13.9659,,12.3121,21.0555,25.1595,20.9403,,,17.4145,20.7572,,,,15.3177,9.9292,90.0708,
Goa,age_30_33,30,7.8364,15.1051,16.8723,13.9659,,12.3121,21.0555,25.1595,20.9403,,,17.4145,20.7572,,,,15.3177,9.9292,90.0708,
Goa,age_30_33,30,7.8364,15.1051,16.8723,13.9659,,12.3121,21.0555,25.1595,20.9403,,,17.4145,20.7572,,,,15.3177,9.9292,90.0708,
Goa,age_30_33,30,7.8364,15.1051,16.8723,13.9659,,12.3121,21.0555,25.1595,20.9403,,,17.4145,20.7572,,,,15.3177,9.9292,90.0708,
Goa,age_34_plus,30,20.89,6.2843,8.5362,6.2966,,5.7668,9.1949,11.7104,9.1644,,,8.3764,9.7957,,,,14.6105,18.7355,81.2645,
Goa,age_34_plus,30,20.89,6.2843,8.5362,6.2966,,5.7668,9.1949,11.7104,9.1644,,,8.3764,9.7957,,,,14.6105,18.7355,81.2645,
Goa,age_34_plus,30,20.89,6.2843,8.5362,6.2966,,5.7668,9.1949,11.7104,9.1644,,,8.3764,9.7957,,,,14.6105,18.7355,81.2645,
Goa,age_34_plus,30,20.89,6.2843,8.5362,6.2966,,5.7668,9.1949,11.7104,9.1644,,,8.3764,9.7957,,,,14.6105,18.7355,81.2645,
Goa,age_34_plus,30,20.89,6.2843,8.5362,6.2966,,5.7668,9.1949,11.7104,9.1644,,,8.3764,9.7957,,,,14.6105,18.7355,81.2645,
