state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
State - UTTARANCHAL  05,age_22_25,05,9.0278,2.1757,3.9853,0.5025,13.9467,5.6652,15.7895,8.9871,24.026,3.632,59.9579,25.8397,84.2105,91.0129,75.974,96.368,40.0421,74.1603,17.3611,10.1255,20.2053,1.5075,13.8204,16.7684
State - UTTARANCHAL  05,age_26_29,05,11.898,3.9461,6.1696,0.0,17.7129,6.3834,26.4583,13.4167,34.9596,3.3333,69.3912,35.8498,73.5417,86.5833,65.0404,96.6667,30.6088,64.1502,20.9632,10.7796,19.7711,2.8736,12.9604,18.6411
State - UTTARANCHAL  05,age_30_33,05,13.0252,3.3121,8.34,0.2915,19.3245,7.0911,34.6154,16.755,44.0641,4.4568,74.7466,40.3327,65.3846,83.245,55.9359,95.5432,25.2534,59.6673,17.6471,11.7197,18.9598,4.0816,12.649,18.4852
State - UTTARANCHAL  05,age_34_plus,05,12.5468,4.5003,13.4841,2.7528,20.8626,9.0955,66.8734,22.7016,66.8444,8.8877,84.4236,55.278,33.1266,77.2984,33.1556,91.1123,15.5764,44.722,16.1049,13.8515,15.7824,10.5925,11.0704,16.6353
Haryana,age_below10,06,97.093,97.1726,97.9931,97.4173,93.3957,97.836,77.1277,71.9415,74.2896,70.4719,90.2087,72.42,22.8723,28.0585,25.7104,29.5281,9.7913,27.58,0.0,0.0,0.0,0.0,0.0,0.0
Haryana,age_10_13,06,53.5714,43.1689,47.0981,24.1634,67.4828,44.6463,17.1598,7.7058,10.4644,1.5027,57.4316,11.0212,82.8402,92.2942,89.5356,98.4973,42.5684,88.9788,6.7857,7.0209,5.0835,13.3366,1.6709,5.7134
Haryana,age_14_17,06,10.4072,4.4932,6.8409,0.8692,24.8214,6.545,19.3431,9.375,12.7114,1.6202,65.142,12.7791,80.6569,90.625,87.2886,98.3798,34.858,87.2209,36.1991,41.7973,35.6189,40.5764,16.6481,36.6837
Haryana,age_18_21,06,3.6697,1.8797,4.3157,0.766,15.6205,4.5403,23.7762,10.1351,19.8457,1.2605,73.4948,16.4516,76.2238,89.8649,80.1543,98.7395,26.5052,83.5484,16.5138,14.4737,18.7416,3.9149,15.457,20.3705
Haryana,age_22_25,06,5.4455,2.2989,4.048,0.1897,14.6036,3.6506,32.2148,13.186,29.9536,2.9098,80.8348,23.3973,67.7852,86.814,70.0464,97.0902,19.1652,76.6027,18.3168,10.3448,19.8839,5.3111,15.1021,19.955
Haryana,age_26_29,06,4.6053,2.3963,5.4096,0.3974,14.8998,4.8084,39.9209,16.7945,43.0347,2.748,86.2336,33.2718,60.0791,83.2055,56.9653,97.252,13.7664,66.7282,15.7895,9.6774,18.0947,8.6976,12.0282,20.9656
Haryana,age_30_33,06,8.5106,2.8881,6.3897,0.9309,17.614,6.1131,57.2727,21.9718,54.6524,4.7597,90.1682,41.0126,42.7273,78.0282,45.3476,95.2403,9.8318,58.9874,9.5745,9.2659,17.463,11.7589,9.3697,20.4094
Haryana,age_34_plus,06,8.3333,3.2095,8.3787,4.024,18.7629,8.4978,76.9784,26.1108,72.0619,17.6773,94.6544,61.8215,23.0216,73.8892,27.9381,82.3227,5.3456,38.1785,15.625,10.0,16.4304,14.0487,7.6642,17.3774
