state_name,age_bracket,state_code,Below_primary_share_ST_female,Below_primary_share_ST_male,CMPR_ST_female,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_attending_ST_male,Child_labour_dropout_ST_female,Child_labour_dropout_ST_male,Dropout_rate_ST_female,Dropout_rate_ST_male,Illiteracy_rate_ST_female,Illiteracy_rate_ST_male,Literacy_rate_ST_female,Literacy_rate_ST_male,Non_worker_dropout_ST_female,School_attendance_rate_ST_female,School_attendance_rate_ST_male
Jharkhand,age_14_17,20,15.8954,14.7506,25.3666,5.5591,15.0725,32.1065,47.3864,56.4472,34.625,56.4472,34.625,52.3776,29.9596,47.6224,70.0404,0.0,43.5528,65.375
Jharkhand,age_18_21,20,12.139,10.7975,72.5916,41.0153,57.5462,15.6506,28.255,65.4325,37.4634,65.4325,37.4634,60.0772,30.815,39.9228,69.185,0.0,34.5675,62.5366
Jharkhand,age_22_25,20,11.1726,10.4961,72.5916,41.0153,57.5462,,,,,,,68.0538,34.3216,31.9462,65.6784,,,
Jharkhand,age_26_29,20,12.527,11.8518,86.9591,72.7607,80.0277,,,,,,,75.8726,40.8498,24.1274,59.1502,,,
Jharkhand,age_30_33,20,14.354,14.022,90.1523,87.1214,88.7034,,,,,,,81.9269,48.8361,18.0731,51.1639,,,
Jharkhand,age_34_plus,20,16.9492,18.4602,71.4909,88.1349,79.8774,,,,,,,88.5076,59.0727,11.4924,40.9273,,,
Jharkhand,age_below10,20,95.6292,95.6029,0.0,0.0,0.0,30.7007,38.6083,68.6576,60.5853,68.6576,60.5853,88.1573,84.4005,11.8427,15.5995,0.0,31.3424,39.4147
State - ORISSA  21,age_10_13,21,44.6878,42.3314,1.1448,0.2985,0.7084,41.8242,60.4171,55.3508,36.2972,55.3508,36.2972,52.7829,32.2727,47.2171,67.7273,0.0,44.6492,63.7028
State - ORISSA  21,age_14_17,21,20.1665,15.8459,20.3305,3.7317,12.0711,22.6787,38.0832,66.3469,44.4931,66.3469,44.4931,57.7939,32.3199,42.2061,67.6801,0.0,33.6531,55.5069
State - ORISSA  21,age_18_21,21,21.6731,17.3191,72.9991,33.6921,54.4573,8.7964,18.0785,73.6923,46.0125,73.6923,46.0125,65.6018,34.7674,34.3982,65.2326,0.0,26.3077,53.9875
State - ORISSA  21,age_22_25,21,23.6108,19.3927,72.9991,33.6921,54.4573,,,,,,,73.1482,38.5908,26.8518,61.4092,,,
State - ORISSA  21,age_26_29,21,27.7668,24.793,89.5952,73.6794,81.9774,,,,,,,80.7077,46.808,19.2923,53.192,,,
State - ORISSA  21,age_30_33,21,32.4143,29.7658,91.4827,90.6403,91.0762,,,,,,,85.7699,53.9418,14.2301,46.0582,,,
State - ORISSA  21,age_34_plus,21,39.9782,41.7262,70.5319,90.8372,80.7313,,,,,,,92.2325,61.8294,7.7675,38.1706,,,
State - ORISSA  21,age_below10,21,96.8196,96.7068,0.0,0.0,0.0,36.9095,47.2502,62.7269,52.2963,62.7269,52.2963,86.8383,81.989,13.1617,18.011,0.0,37.2731,47.7037
Chhattisgarh,age_10_13,22,57.4996,56.1659,1.2215,0.4346,0.8188,63.5113,75.5661,31.6458,18.6469,31.6458,18.6469,27.6699,17.0055,72.3301,82.9945,0.0,68.3542,81.3531
Chhattisgarh,age_14_17,22,18.1003,15.8692,21.5255,5.7021,13.4315,31.8408,50.7639,48.6488,23.7732,48.6488,23.7732,34.2037,18.4327,65.7963,81.5673,0.0,51.3512,76.2268
Chhattisgarh,age_18_21,22,17.2392,14.3359,80.9122,50.6865,66.55,11.9349,27.8022,57.2802,25.1182,57.2802,25.1182,45.2777,21.3711,54.7223,78.6289,0.0,42.7198,74.8818
Chhattisgarh,age_22_25,22,20.111,15.8552,80.9122,50.6865,66.55,,,,,,,54.1388,24.8207,45.8612,75.1793,,,
Chhattisgarh,age_26_29,22,23.5487,19.1779,92.1432,83.3043,87.7906,,,,,,,62.1467,30.1405,37.8533,69.8595,,,
