state_name,age_bracket,state_code,Below_primary_share_total_female,CMPR_agri_labourers_female,CMPR_below_primary_female,CMPR_cultivators_female,CMPR_household_industry_female,CMPR_illiterate_female,CMPR_main_workers_female,CMPR_matric_female,CMPR_middle_female,CMPR_non_workers_female,CMPR_other_workers_female,CMPR_primary_female,CMPR_total_female,Child_labour_attending_total_female,Child_labour_dropout_total_female,Dropout_rate_total_female,Graduate_share_total_female,Illiteracy_rate_total_female,Literacy_rate_total_female,Non_worker_dropout_total_female,School_attendance_rate_total_female
Kerala,age_below10,32,97.9232,1.6194,1.8211,1.745,,1.901,1.335,1.2561,1.6571,,,1.773,,80.1114,19.8178,19.8178,0.0,73.9018,26.0982,0.0,80.1822
Tamil Nadu,age_10_13,33,18.9359,2.2038,2.0368,2.0218,,2.8719,2.0216,0.5486,1.2409,,,1.7594,,87.46,10.0723,10.0723,0.0,6.7866,93.2134,0.0,89.9277
Tamil Nadu,age_14_17,33,5.435,27.4922,24.8937,26.4565,,28.0254,24.7376,13.0939,22.688,,,24.5875,,58.715,28.4221,28.4221,0.0,9.4158,90.5842,0.0,71.5779
Tamil Nadu,age_18_21,33,5.79,50.5859,49.0034,50.6459,,47.5431,48.1809,47.8078,49.4708,,,49.2326,,25.3071,51.4226,51.4226,0.0,14.0244,85.9756,0.0,48.5774
Tamil Nadu,age_22_25,33,6.2135,11.8711,13.9694,12.6347,,11.5553,14.5325,22.231,15.0596,,,14.1591,,,,,9.5119,19.925,80.075,,
Tamil Nadu,age_26_29,33,8.8334,1.9561,2.6732,2.1714,,1.9705,3.5059,5.7649,2.9666,,,2.6465,,,,,9.9274,30.2293,69.7707,,
Tamil Nadu,age_30_33,33,10.414,0.6838,0.7359,0.6782,,0.8233,1.0301,1.2532,0.6724,,,0.6581,,,,,8.7815,36.2947,63.7053,,
Tamil Nadu,age_34_plus,33,13.0235,0.2412,0.2795,0.2556,,0.3932,0.3364,0.3507,0.217,,,0.2291,,,,,4.8351,57.5424,42.4576,,
Tamil Nadu,age_below10,33,93.3677,1.0379,1.0578,1.0495,,1.0144,1.0259,1.0874,1.1548,,,1.09,,80.5914,19.0004,19.0004,0.0,72.5356,27.4644,0.0,80.9996
State - PONDICHERRY  34,age_10_13,34,22.4763,3.9915,3.8742,4.0777,,5.2867,2.8972,0.3412,1.1457,,,2.382,,94.4345,4.9187,4.9187,0.0,3.7369,96.2631,0.0,95.0813
State - PONDICHERRY  34,age_14_17,34,2.8084,34.9905,33.1954,29.3204,,35.2429,27.0873,12.3933,24.8211,,,30.2214,,70.4087,23.8339,23.8339,0.0,3.9859,96.0141,0.0,76.1661
State - PONDICHERRY  34,age_18_21,34,3.1765,47.7273,45.048,47.767,,43.7854,41.4939,48.0004,49.7273,,,47.5441,,34.3364,52.8875,52.8875,0.0,7.1836,92.8164,0.0,47.1125
State - PONDICHERRY  34,age_22_25,34,3.8708,8.9867,11.2318,11.8447,,8.9678,16.7273,25.9009,16.2406,,,13.0003,,,,,15.0294,10.8444,89.1556,,
State - PONDICHERRY  34,age_26_29,34,6.2694,1.5862,2.42,2.8155,,1.6658,6.7381,7.4876,3.6148,,,2.6389,,,,,16.9203,18.9866,81.0134,,
State - PONDICHERRY  34,age_30_33,34,7.9003,0.535,0.7588,0.8738,,0.6931,1.8084,1.718,0.833,,,0.6505,,,,,13.9548,24.4902,75.5098,,
State - PONDICHERRY  34,age_34_plus,34,12.4708,0.2794,0.3219,0.7767,,0.4263,0.6539,0.5431,0.3077,,,0.3031,,,,,7.7322,46.3299,53.6701,,
State - PONDICHERRY  34,age_below10,34,96.8484,1.0795,1.2071,0.7767,,1.2109,0.9236,1.076,1.1783,,,1.2474,,85.1343,14.7924,14.7924,0.0,74.954,25.046,0.0,85.2076
Andaman & Nicobar Islands,age_10_13,35,39.2401,7.1795,6.7239,6.8289,,6.6459,3.6347,0.5573,1.3952,,,3.8251,,90.0978,9.4398,9.4398,0.0,6.4672,93.5328,0.0,90.5602
Andaman & Nicobar Islands,age_14_17,35,6.2151,39.4872,36.8156,32.7358,,32.1776,21.4121,11.1964,25.1303,,,34.1637,,74.9285,23.4277,23.4277,0.0,5.3602,94.6398,0.0,76.5723
Andaman & Nicobar Islands,age_18_21,35,5.9451,35.8974,42.1764,44.0461,,41.4314,37.4334,49.041,52.578,,,46.3759,,36.9402,58.8812,58.8812,0.0,8.1938,91.8062,0.0,41.1188
Andaman & Nicobar Islands,age_22_25,35,6.8557,5.641,7.8121,9.347,,10.5478,22.0671,25.5121,12.517,,,9.0632,,,,,7.9627,10.8861,89.1139,,
Andaman & Nicobar Islands,age_26_29,35,9.2871,4.6154,1.9015,2.134,,2.734,9.3781,7.0782,2.574,,,2.1318,,,,,12.7344,16.4901,83.5099,,
Andaman & Nicobar Islands,age_30_33,35,12.4921,1.5385,0.6071,0.939,,1.0684,2.0656,1.31,0.6094,,,0.5482,,,,,13.2195,25.2364,74.7636,,
Andaman & Nicobar Islands,age_34_plus,35,22.147,0.0,0.3093,0.1707,,0.5607,0.5902,0.3619,0.2245,,,0.1645,,,,,7.0415,49.2125,50.7875,,
Andaman & Nicobar Islands,age_below10,35,97.485,4.6154,1.6724,2.6035,,2.1467,1.5618,1.035,1.3391,,,1.4923,,72.2624,27.6301,27.6301,0.0,73.4293,26.5707,0.0,72.3699
