state_name,age_bracket,state_code,Below_primary_share_total_female,Below_primary_share_total_male,CMPR_agri_labourers_female,CMPR_agri_labourers_male,CMPR_below_primary_female,CMPR_below_primary_male,CMPR_cultivators_female,CMPR_cultivators_male,CMPR_household_industry_female,CMPR_household_industry_male,CMPR_illiterate_female,CMPR_illiterate_male,CMPR_main_workers_female,CMPR_main_workers_male,CMPR_matric_female,CMPR_matric_male,CMPR_middle_female,CMPR_middle_male,CMPR_non_workers_female,CMPR_non_workers_male,CMPR_other_workers_female,CMPR_other_workers_male,CMPR_primary_female,CMPR_primary_male,CMPR_total_female,CMPR_total_male,Child_labour_attending_total_female,Child_labour_attending_total_male,Child_labour_dropout_total_female,Child_labour_dropout_total_male,Dropout_rate_total_female,Dropout_rate_total_male,Illiteracy_rate_total_female,Illiteracy_rate_total_male,Literacy_rate_total_female,Literacy_rate_total_male,Non_worker_dropout_total_female,School_attendance_rate_total_female,School_attendance_rate_total_male
Tripura,age_14_17,16,16.7428,17.1805,24.6881,2.0263,38.3848,2.0766,23.0644,1.8174,,,30.8077,2.3157,24.5679,1.6293,12.4342,0.996,28.6305,1.4195,,,,,34.2372,1.6582,30.6534,1.7488,65.0722,70.3595,31.1067,20.8395,31.1067,20.8395,16.1746,9.2903,83.8254,90.7097,0.0,68.8933,79.1605
Tripura,age_18_21,16,16.6317,16.0465,50.7894,26.5089,38.4985,24.0943,52.4422,24.9411,,,42.4742,25.9281,44.2922,20.6908,41.0057,13.5768,43.9902,18.0995,,,,,40.5046,20.3452,40.9428,20.4574,33.1744,45.5208,58.8639,30.0125,58.8639,30.0125,21.0916,10.7548,78.9084,89.2452,0.0,41.1361,69.9875
Tripura,age_below10,16,98.2572,98.1011,1.6509,0.8032,2.0932,0.914,1.7541,0.8072,,,2.2114,0.7919,1.6979,0.8253,1.5689,0.871,1.8758,0.97,,,,,1.9404,0.9755,2.0353,0.9035,56.783,59.4334,42.9871,40.2672,42.9871,40.2672,75.9546,74.5938,24.0454,25.4062,0.0,57.0129,59.7328
Meghalaya,age_10_13,17,63.9047,66.7252,1.052,0.4549,1.0602,0.4183,1.301,0.6121,,,1.6238,0.5238,1.1604,0.4741,0.5468,0.438,0.8792,0.4728,,,,,1.2145,0.5394,1.2767,0.483,69.2808,66.4904,27.4173,28.8793,27.4173,28.8793,30.3334,33.0088,69.6666,66.9912,0.0,72.5827,71.1207
Meghalaya,age_14_17,17,29.7576,34.0235,17.0238,2.4758,17.4545,2.1968,15.2058,2.3929,,,17.5972,2.6177,14.5862,2.1431,8.0484,1.7017,14.5726,2.0505,,,,,17.9222,2.2631,16.0811,2.2217,63.398,58.7954,23.7986,21.2802,23.7986,21.2802,22.2105,25.9038,77.7895,74.0962,0.0,76.2014,78.7198
Meghalaya,age_18_21,17,24.121,24.4115,50.3003,26.8189,50.2463,25.6155,49.5642,25.9312,,,46.4732,26.1819,47.5047,23.9808,41.1582,19.6738,47.8425,22.9789,,,,,49.5368,24.0622,46.5242,23.7864,45.4993,47.0634,31.7739,19.6026,31.7739,19.6026,25.5279,25.0393,74.4721,74.9607,0.0,68.2261,80.3974
Meghalaya,age_below10,17,95.2147,94.6736,1.4145,0.9642,1.3456,1.1151,1.7963,1.6176,,,1.5746,1.3111,1.5316,1.208,1.3671,1.45,1.481,1.4132,,,,,1.6187,1.4504,1.5175,1.3288,44.9479,43.3711,54.0565,55.4639,54.0565,55.4639,86.1179,86.67,13.8821,13.33,0.0,45.9435,44.5361
Assam,age_10_13,18,39.8643,41.3182,2.2993,0.1357,3.1337,0.1747,1.7731,0.1595,,,3.059,0.1987,1.9119,0.1737,0.7093,0.1666,1.3851,0.1747,,,,,2.5724,0.1921,2.547,0.1863,67.72,70.9704,30.9878,26.0126,30.9878,26.0126,27.9565,23.423,72.0435,76.577,0.0,69.0122,73.9874
Assam,age_14_17,18,12.4425,14.3045,25.5016,2.0635,29.3719,1.9366,21.9841,1.8629,,,28.7518,2.4682,21.624,1.8421,13.7635,1.1242,24.2621,1.7626,,,,,29.2564,2.0702,26.2085,1.9233,55.9849,56.8303,39.9434,28.9309,39.9434,28.9309,25.8867,21.224,74.1133,78.776,0.0,60.0566,71.0691
Assam,age_18_21,18,11.7614,13.0353,46.9185,26.1691,44.339,21.3513,46.197,22.6871,,,44.8828,25.8224,44.4449,20.5586,42.9807,13.5136,46.5291,18.7438,,,,,44.5317,20.9119,44.2082,20.3726,32.7642,39.396,59.6173,32.6883,59.6173,32.6883,30.8754,21.2591,69.1246,78.7409,0.0,40.3827,67.3117
