state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Himachal Pradesh,age_14_17,02,7.7513,7.0866,4.3839,1.7857,10.8124,2.3977,3.6353,4.5113,5.2568,1.7544,29.2824,2.9764,96.3647,95.4887,94.7432,98.2456,70.7176,97.0236,42.2635,40.9449,41.4821,35.7143,30.293,42.5599
Himachal Pradesh,age_18_21,02,6.4917,3.5398,3.7619,0.0,6.5925,2.4115,7.476,11.0236,9.0355,5.5556,40.6132,5.0787,92.524,88.9764,90.9645,94.4444,59.3868,94.9213,23.5497,23.0088,19.0768,0.0,21.8427,14.8455
Punjab,age_below10,03,98.2309,96.8954,97.0964,96.0809,96.648,97.569,71.6248,77.9161,73.6149,69.1858,79.434,72.2345,28.3752,22.0839,26.3851,30.8142,20.566,27.7655,0.0,0.0,0.0,0.0,0.0,0.0
Punjab,age_10_13,03,40.9475,49.3271,39.5335,25.4717,51.1902,43.4746,7.6563,24.9064,11.3847,1.7819,26.2781,11.4016,92.3438,75.0936,88.6153,98.2181,73.7219,88.5984,4.8505,4.1694,7.3995,13.3527,3.8347,5.1651
Punjab,age_14_17,03,3.5669,8.5038,3.988,0.988,8.3746,4.8036,6.2687,30.1701,11.3408,1.7337,31.2836,13.2552,93.7313,69.8299,88.6592,98.2663,68.7164,86.7448,41.0828,32.6907,38.893,35.7798,32.1619,38.4042
Punjab,age_18_21,03,3.8095,5.7465,2.8477,0.7937,7.1515,3.1596,6.8441,34.5526,14.6899,1.5625,39.5576,17.1928,93.1559,65.4474,85.3101,98.4375,60.4424,82.8072,22.8571,18.053,15.7474,1.8519,20.2986,17.4513
Chandigarh,age_below10,04,100.0,99.3056,97.7162,100.0,97.4138,97.9035,64.0,76.6234,74.483,73.5632,77.8995,66.5963,36.0,23.3766,25.517,26.4368,22.1005,33.4037,0.0,0.0,0.0,0.0,0.0,0.0
Chandigarh,age_10_13,04,32.0755,36.8821,38.2277,17.7215,49.6302,29.9176,3.6364,10.8475,10.352,2.4691,17.9366,2.4112,96.3636,89.1525,89.648,97.5309,82.0634,97.5888,3.7736,6.0837,7.2666,11.3924,4.2728,8.734
Chandigarh,age_14_17,04,3.9216,2.3529,3.8699,0.0,8.3243,1.5236,3.7736,14.1414,9.3504,1.9417,19.0726,2.2989,96.2264,85.8586,90.6496,98.0583,80.9274,97.7011,35.2941,43.1373,40.7291,36.6337,35.4595,43.0858
Chandigarh,age_18_21,04,1.1236,2.1739,2.1887,0.0,4.0767,0.8191,2.1978,14.2857,13.6878,0.0,25.5357,2.4322,97.8022,85.7143,86.3122,100.0,74.4643,97.5678,5.618,18.8406,12.3774,2.0,26.3789,7.5142
State - UTTARANCHAL  05,age_below10,05,93.3099,96.3397,97.3701,95.2632,94.2556,96.5209,66.2708,70.8493,73.5775,69.0554,82.4515,74.094,33.7292,29.1507,26.4225,30.9446,17.5485,25.906,0.0,0.0,0.0,0.0,0.0,0.0
State - UTTARANCHAL  05,age_10_13,05,33.1361,35.7081,45.3421,19.5906,57.8325,42.7012,7.4818,5.9641,8.0455,1.1561,33.3293,13.143,92.5182,94.0359,91.9545,98.8439,66.6707,86.857,8.6785,11.3814,5.8873,19.883,4.4206,7.7498
State - UTTARANCHAL  05,age_14_17,05,4.5858,4.2039,6.2562,0.8621,20.2839,9.1073,4.9226,6.2867,10.9403,0.8547,41.5741,18.4905,95.0774,93.7133,89.0597,99.1453,58.4259,81.5095,33.284,43.1127,40.9831,38.7931,24.2461,37.564
