source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban/,Age at | marriage | 1,Number of ever married | persons | Males | 2,Females | 3,Duration of marriage of currently married persons | All durations | Males | 4,Females | 5,0-4 | Males | 6,Females | 7,5-9 | Males | 8,Females | 9,10-19 | Males | 10,Females | 11,20-29 | Males | 12,Females | 13,30-39 | Males | 14,Females | 15,40 and above | Males | 16,Females | 17,Duration not known | Males | 18,Females | 19
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Urban,28-29,551196,82434,545198,76367,117892,21981,101702,15268,152369,19938,95994,11212,52171,5389,21593,1759,3477,820
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Urban,30-31,382321,47654,376023,41072,68239,8717,70251,7861,101496,11838,71037,7411,43556,3562,18574,1122,2870,561
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Urban,32-33,125146,14914,123550,13523,29761,3678,24968,2637,33321,3909,21403,2141,9786,761,3366,234,945,163
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Urban,34 +,134759,27367,131784,21055,26383,4300,22314,3198,35516,7844,29838,4184,12735,968,4082,267,916,294
C-04_Andhra_Pradesh,C1404,28,000,State - ANDHRA PRADESH,Urban,Not stated,675849,847885,638043,670529,0,0,0,0,0,0,0,0,0,0,0,0,638043,670529
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Total,All ages,303083,314710,290314,278924,37778,37173,43947,43050,86406,85427,62707,56713,27041,23375,15023,13029,17412,20157
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Total,Less than 10,2933,4180,2844,3839,1,6,16,25,417,1305,1260,1351,627,693,521,455,2,4
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Total,10-11,618,1261,597,1168,5,19,8,53,149,497,284,361,96,151,55,84,0,3
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Total,12-13,591,2736,573,2475,10,68,24,255,198,1103,222,624,77,271,42,152,0,2
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Total,14-15,1990,13297,1885,12005,102,749,194,1682,638,4612,595,3047,224,1234,131,681,1,0
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Total,16-17,7011,35410,6669,32335,729,4489,973,5677,2390,11714,1496,6577,640,2500,435,1356,6,22
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Total,18-19,30350,91994,29001,84441,3459,12514,4979,15236,9800,28236,6327,17813,2740,6861,1687,3718,9,63
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Total,20-21,68271,70367,65120,60863,7014,7741,10534,9990,20616,19158,15584,14171,7010,6085,4290,3662,72,56
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Total,22-23,47736,28298,46285,25076,7106,4545,8101,4322,14786,7759,10163,5193,4062,2087,2027,1154,40,16
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Total,24-25,50928,21427,48799,17960,7094,3136,7390,2762,15064,5375,11140,3854,5158,1807,2918,1014,35,12
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Total,26-27,24121,8557,23376,7530,4596,1719,3961,1205,7275,2265,4733,1429,1915,624,878,284,18,4
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Total,28-29,17552,5626,16967,4909,3191,1021,2837,834,5225,1488,3606,942,1447,445,651,177,10,2
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Total,30-31,16034,4097,15306,3178,1780,433,2321,513,4741,904,3774,736,1799,395,884,197,7,0
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Total,32-33,5508,1249,5367,1098,951,229,945,202,1806,318,1155,237,357,81,150,31,3,0
C-04_Arunachal_Pradesh,C1404,12,000,State - ARUNACHAL PRADESH,Total,34 +,10704,2585,10319,2076,1740,504,1664,294,3301,693,2368,378,889,141,354,64,3,2
