source_file,Table | Name,State | Code,Distt. | Code,Area Name,Total/ | Rural/ | Urban/,Age at | marriage | 1,Number of ever married | persons | Males | 2,Females | 3,Duration of marriage of currently married persons | All durations | Males | 4,Females | 5,0-4 | Males | 6,Females | 7,5-9 | Males | 8,Females | 9,10-19 | Males | 10,Females | 11,20-29 | Males | 12,Females | 13,30-39 | Males | 14,Females | 15,40 and above | Males | 16,Females | 17,Duration not known | Males | 18,Females | 19
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Rural,10-11,343,692,331,642,3,13,5,30,96,285,149,183,48,84,30,44,0,3
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Rural,12-13,314,1194,307,1090,6,33,13,103,124,508,113,260,31,111,20,73,0,2
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Rural,14-15,1028,6233,973,5609,52,342,103,769,359,2096,291,1416,91,582,76,404,1,0
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Rural,16-17,3805,19006,3607,17183,386,2184,510,2873,1263,6262,782,3537,363,1428,298,885,5,14
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Rural,18-19,17960,56071,17103,50913,1896,6760,2818,8877,5812,16843,3687,10959,1688,4663,1200,2761,2,50
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Rural,20-21,39505,42706,37520,35949,3495,3989,5644,5507,11645,10804,9096,8698,4426,4193,3167,2725,47,33
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Rural,22-23,23676,16146,22756,13812,2888,2187,3612,2177,7017,4013,5262,3046,2486,1460,1478,921,13,8
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Rural,24-25,23886,12398,22603,9884,2613,1509,2906,1341,6419,2694,5450,2268,3125,1284,2071,781,19,7
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Rural,26-27,10265,4764,9761,3954,1582,772,1385,534,2880,1108,2131,868,1121,443,655,226,7,3
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Rural,28-29,7105,3082,6751,2547,1080,420,946,341,1899,759,1524,559,862,331,438,135,2,2
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Rural,30-31,6908,2521,6455,1791,587,174,815,219,1729,472,1613,464,1099,298,608,164,4,0
C-04_(ST)_Arunachal_Pradesh,C1604ST,12,000,State - ARUNACHAL PRADESH,Rural,32-33,1858,689,1783,576,255,96,285,83,534,168,430,149,188,54,89,26,2,0
