state_name,age_bracket,state_code,Below_primary_share_total_male,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male,Graduate_share_total_male,Illiteracy_rate_total_male,Literacy_rate_total_male
Tripura,age_18_21,16,11.2435,27.318,26.4021,25.0943,21.4508,26.7005,20.9416,12.7242,19.7759,16.8962,16.9763,25.7961,20.9964,0.0,3.7679,96.2321
Tripura,age_22_25,16,12.8879,35.4146,34.9257,34.9815,33.5374,34.5451,32.2054,27.6514,32.5791,25.5236,29.8681,34.6703,31.5272,5.4055,4.2992,95.7008
Tripura,age_26_29,16,14.7177,17.6364,17.5658,18.7465,20.6406,15.8247,21.0628,25.904,22.3919,18.0892,23.2363,18.4113,20.4383,8.1936,5.4981,94.5019
Tripura,age_30_33,16,15.8158,9.3928,10.0337,10.9811,12.6236,10.3869,13.5585,18.0067,13.0763,16.1105,16.1023,9.905,13.5261,8.3765,6.0504,93.9496
Tripura,age_34_plus,16,23.3394,4.4535,4.9947,5.1669,5.8973,6.0,7.0117,9.6273,5.8324,10.7311,8.7077,4.439,7.2138,9.3694,13.5962,86.4038
Tripura,age_below10,16,96.8209,0.7425,0.717,0.7342,0.9044,0.737,0.742,0.7512,0.7873,0.7656,0.7413,0.7735,0.7488,0.0,72.3842,27.6158
Meghalaya,age_10_13,17,56.9119,0.5114,0.5286,0.6174,0.7322,0.5474,0.5048,0.4806,0.5109,0.4444,0.3933,0.5347,0.5155,0.0,16.135,83.865
Meghalaya,age_14_17,17,23.6663,2.2321,1.9272,1.8995,2.3352,2.3381,1.9068,1.4904,1.8889,1.7455,1.8248,2.1097,1.9328,0.0,13.1555,86.8445
Meghalaya,age_18_21,17,19.2608,29.2261,27.3158,27.2687,23.9066,28.1121,25.5916,21.2169,24.5359,16.8217,23.2017,26.1319,25.039,0.0,15.2357,84.7643
Meghalaya,age_22_25,17,19.8736,34.8194,34.4814,33.9418,33.584,32.3611,33.7405,33.5195,33.542,23.0208,33.2976,33.1241,32.7833,5.8434,18.1113,81.8887
Meghalaya,age_26_29,17,21.1783,13.9502,14.5357,14.7909,15.9311,13.8466,16.5644,18.8846,16.5191,13.0014,18.8544,15.1367,15.9876,10.1815,21.4901,78.5099
