state_name,age_bracket,state_code,Below_primary_share_SC_female,Below_primary_share_SC_male,CMPR_SC_female,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_attending_SC_male,Child_labour_dropout_SC_female,Child_labour_dropout_SC_male,Dropout_rate_SC_female,Dropout_rate_SC_male,Graduate_share_SC_female,Graduate_share_SC_male,Illiteracy_rate_SC_female,Illiteracy_rate_SC_male,Literacy_rate_SC_female,Literacy_rate_SC_male,Non_worker_dropout_SC_female,School_attendance_rate_SC_female,School_attendance_rate_SC_male
Rajasthan,age_30_33,08,18.046,9.279,96.3498,93.0229,94.6626,,,,,,,7.0461,11.5038,70.8025,26.4831,29.1975,73.5169,,,
Rajasthan,age_34_plus,08,22.7417,15.0511,78.7433,91.2489,85.0049,,,,,,,3.4728,8.3768,87.6104,48.3685,12.3896,51.6315,,,
Rajasthan,age_below10,08,94.6217,94.0155,0.0,0.0,0.0,0.7824,0.8066,0.783,0.5902,44.153,39.849,0.0,0.0,77.5842,75.7047,22.4158,24.2953,43.3701,55.847,60.151
Uttar Pradesh,age_10_13,09,40.8902,42.292,2.5514,1.298,1.8882,2.5112,2.8511,1.8649,2.9059,18.2104,16.0649,0.0,0.0,14.2919,11.6119,85.7081,88.3881,16.3455,81.7896,83.9351
Uttar Pradesh,age_14_17,09,5.7283,6.1377,8.3863,3.0056,5.5085,3.4013,4.8755,7.1527,17.4508,36.5823,33.8712,0.0,0.0,15.8209,11.8216,84.1791,88.1784,29.4296,63.4177,66.1288
Uttar Pradesh,age_18_21,09,3.365,3.4386,48.0256,16.8573,30.6248,3.1864,6.1672,14.8918,41.3261,61.9936,56.9532,0.0,0.0,24.6314,13.9625,75.3686,86.0375,47.1018,38.0064,43.0468
Uttar Pradesh,age_22_25,09,3.7944,3.3,88.2442,59.9938,72.9547,,,,,,,10.6566,10.2787,40.0859,17.1097,59.9141,82.8903,,,
Uttar Pradesh,age_26_29,09,4.6346,3.4117,95.3832,81.2595,88.5436,,,,,,,12.8452,12.9902,57.9399,24.4996,42.0601,75.5004,,,
Uttar Pradesh,age_30_33,09,5.9897,3.9729,96.4878,89.6486,93.0767,,,,,,,9.6747,11.2994,69.3483,31.2605,30.6517,68.7395,,,
Uttar Pradesh,age_34_plus,09,7.7943,5.738,81.2046,87.3134,84.3756,,,,,,,5.4046,9.0707,85.3149,48.5211,14.6851,51.4789,,,
Uttar Pradesh,age_below10,09,93.6946,93.2219,0.0,0.0,0.0,1.2469,1.3817,1.0857,1.2658,43.5037,42.3041,0.0,0.0,76.017,74.9258,23.983,25.0742,42.418,56.4963,57.6959
Bihar,age_10_13,10,54.6718,51.0922,2.8762,1.5733,2.1821,2.2267,2.6586,2.8023,3.4538,26.7499,22.491,0.0,0.0,25.4874,20.0557,74.5126,79.9443,23.9476,73.2501,77.509
Bihar,age_14_17,10,14.4103,12.1902,16.0035,4.5291,9.3046,3.0875,4.8078,11.58,20.0622,44.5883,40.0595,0.0,0.0,33.5344,24.1526,66.4656,75.8474,33.0083,55.4117,59.9405
Bihar,age_18_21,10,12.9517,9.9973,77.943,27.1867,51.0505,2.816,6.218,29.7175,45.1942,78.4735,62.4277,0.0,0.0,54.6316,30.4506,45.3684,69.5494,48.756,21.5265,37.5723
Bihar,age_22_25,10,16.7567,10.5232,95.7928,76.6287,86.0251,,,,,,,3.6417,6.0112,65.3193,37.8143,34.6807,62.1857,,,
Bihar,age_26_29,10,18.7212,11.0287,97.7683,90.2204,94.2512,,,,,,,3.872,7.7712,71.1519,44.5241,28.8481,55.4759,,,
Bihar,age_30_33,10,20.1566,11.0743,97.2695,95.5327,96.4012,,,,,,,2.9385,6.66,74.7851,48.6547,25.2149,51.3453,,,
Bihar,age_34_plus,10,20.8165,11.5568,84.1272,91.7333,88.1163,,,,,,,2.4925,7.7069,87.0102,61.5418,12.9898,38.4582,,,
Bihar,age_below10,10,94.6965,93.8079,0.0,0.0,0.0,1.0268,1.154,1.3199,1.3706,50.8433,48.4793,0.0,0.0,80.2279,78.616,19.7721,21.384,49.5234,49.1567,51.5207
Sikkim,age_10_13,11,57.4751,60.7656,1.8602,0.6607,1.2407,9.19,9.7378,1.947,3.0712,7.0872,7.0412,0.0,0.0,6.2305,6.0674,93.7695,93.9326,5.1402,92.9128,92.9588
Sikkim,age_14_17,11,19.9477,26.9509,12.2471,2.6316,7.3171,10.3789,10.6222,13.5914,19.8027,23.8056,29.2109,0.0,0.0,5.4366,5.6904,94.5634,94.3096,10.2142,76.1944,70.7891
Sikkim,age_18_21,11,19.3182,26.08,45.9459,19.1108,32.9687,7.2398,10.1949,29.7134,41.2294,54.4495,53.0735,0.0,0.0,7.089,6.2969,92.911,93.7031,24.736,45.5505,46.9265
Sikkim,age_22_25,11,22.6441,26.6526,69.7997,49.305,59.8572,,,,,,,4.1356,5.2743,12.0977,7.0588,87.9023,92.9412,,,
Sikkim,age_26_29,11,20.9549,23.8055,77.5926,68.9216,73.381,,,,,,,10.3448,9.2205,19.559,10.1657,80.441,89.8343,,,
Sikkim,age_30_33,11,25.9036,23.0372,84.9057,83.6512,84.2818,,,,,,,8.6747,8.0579,25.4268,12.0799,74.5732,87.9201,,,
Sikkim,age_34_plus,11,31.1327,34.2237,75.0,85.9534,80.8676,,,,,,,5.3722,6.0768,59.6816,32.2551,40.3184,67.7449,,,
Sikkim,age_below10,11,95.9514,96.139,0.0,0.0,0.0,2.6658,4.3081,1.0253,0.7833,19.1388,20.5614,0.0,0.0,71.5547,71.5801,28.4453,28.4199,18.1135,80.8612,79.4386
Manipur,age_10_13,14,30.9737,29.8798,1.734,0.8305,1.2752,1.5664,1.4397,1.3138,1.7326,10.5356,10.1269,0.0,0.0,9.7019,8.614,90.2981,91.386,9.2218,89.4644,89.8731
Manipur,age_14_17,14,3.9987,5.1603,7.1192,2.2065,4.6023,2.6786,2.8882,7.0536,9.837,20.5952,18.3872,0.0,0.0,8.4524,6.3483,91.5476,93.6517,13.5417,79.4048,81.6128
Manipur,age_18_21,14,4.8193,3.2386,25.5698,9.4891,17.5259,3.8303,3.9653,20.0943,24.4734,42.7225,38.9095,0.0,0.0,11.9623,6.2577,88.0377,93.7423,22.6282,57.2775,61.0905
Manipur,age_22_25,14,3.5705,4.0081,49.2637,29.7842,39.6947,,,,,,,11.5641,11.238,13.4655,8.0476,86.5345,91.9524,,,
Manipur,age_26_29,14,3.3748,3.6786,68.8457,55.6829,62.4302,,,,,,,13.6653,16.9058,17.5222,9.3425,82.4778,90.6575,,,
Manipur,age_30_33,14,3.9048,3.4877,80.8597,79.1053,80.0078,,,,,,,19.8095,22.1587,20.354,10.9028,79.646,89.0972,,,
Manipur,age_34_plus,14,7.202,6.4649,76.8028,90.3237,83.5653,,,,,,,20.3937,24.1629,53.3199,25.0756,46.6801,74.9244,,,
Manipur,age_below10,14,90.7987,90.459,0.0,0.0,0.0,0.6801,0.687,0.5739,0.5658,33.3262,33.9867,0.0,0.0,75.8298,76.4818,24.1702,23.5182,32.7524,66.6738,66.0133
Mizoram,age_10_13,15,25.0,48.0769,2.5641,0.0,1.0101,3.3333,0.0,0.0,3.7037,10.0,7.4074,0.0,0.0,6.6667,3.7037,93.3333,96.2963,10.0,90.0,92.5926
Mizoram,age_14_17,15,5.7143,3.7037,23.0769,0.0,12.2449,14.2857,6.8966,0.0,13.7931,5.7143,17.2414,0.0,0.0,0.0,6.8966,100.0,93.1034,5.7143,94.2857,82.7586
Mizoram,age_18_21,15,9.5238,15.1515,34.1463,8.5714,18.018,0.0,11.7647,17.3913,47.0588,34.7826,50.0,0.0,0.0,8.6957,2.9412,91.3043,97.0588,17.3913,65.2174,50.0
Mizoram,age_22_25,15,4.6512,7.7778,65.7143,27.5,39.1304,,,,,,,20.9302,12.2222,10.4167,6.25,89.5833,93.75,,,
Mizoram,age_26_29,15,11.1111,10.6383,86.0465,46.7532,60.8333,,,,,,,15.5556,9.5745,6.25,3.0928,93.75,96.9072,,,
Mizoram,age_30_33,15,3.0303,6.1224,97.1429,78.6408,83.3333,,,,,,,21.2121,12.2449,5.7143,4.8544,94.2857,95.1456,,,
Mizoram,age_34_plus,15,15.4762,8.5409,86.1702,91.2621,90.0744,,,,,,,11.9048,10.3203,10.6383,9.0615,89.3617,90.9385,,,
Mizoram,age_below10,15,92.0,100.0,0.0,0.0,0.0,0.0,2.1739,0.0,2.1739,29.0909,17.3913,0.0,0.0,74.2268,71.7647,25.7732,28.2353,29.0909,70.9091,82.6087
Tripura,age_10_13,16,33.5512,34.9762,1.6271,0.8159,1.2124,0.6657,0.8653,0.4383,1.2115,4.759,5.0267,0.0,0.0,1.9557,1.8368,98.0443,98.1632,4.3207,95.241,94.9733
Tripura,age_14_17,16,6.6675,8.0031,12.4457,2.0203,7.0237,1.2183,2.1954,2.9926,12.4187,21.6599,22.252,0.0,0.0,2.1382,1.8397,97.8618,98.1603,18.6672,78.3401,77.748
Tripura,age_18_21,16,11.2946,12.8691,54.028,10.1749,32.1347,1.5087,3.638,8.4013,35.6828,61.8333,49.9288,0.0,0.0,3.4606,2.3565,96.5394,97.6435,53.432,38.1667,50.0712
Tripura,age_22_25,16,15.592,15.6327,77.6587,34.7773,56.2364,,,,,,,3.1397,3.955,3.9744,2.6464,96.0256,97.3536,,,
Tripura,age_26_29,16,21.4188,18.2261,86.9251,61.7825,73.8867,,,,,,,4.2971,6.2263,5.2193,3.5477,94.7807,96.4523,,,
Tripura,age_30_33,16,25.583,20.0597,89.405,82.9308,86.0169,,,,,,,3.7971,6.3665,7.3084,4.3442,92.6916,95.6558,,,
Tripura,age_34_plus,16,40.8587,31.1734,68.9828,93.5836,81.5126,,,,,,,2.2342,5.8773,28.8099,13.4218,71.1901,86.5782,,,
Tripura,age_below10,16,97.639,97.4215,0.0,0.0,0.0,0.3002,0.3826,0.1787,0.2767,27.1457,27.2724,0.0,0.0,71.1925,71.2676,28.8075,28.7324,26.9671,72.8543,72.7276
Meghalaya,age_10_13,17,48.1089,49.9307,1.4315,0.675,1.0422,1.6352,2.8103,1.5094,2.2248,20.6289,19.9063,0.0,0.0,16.8553,15.5738,83.1447,84.4262,19.1195,79.3711,80.0937
Meghalaya,age_14_17,17,16.3823,16.6667,11.6858,1.9704,6.4545,3.1206,5.0505,7.0922,14.7727,30.7801,30.0505,0.0,0.0,16.8794,15.1515,83.1206,84.8485,23.6879,69.2199,69.9495
Meghalaya,age_18_21,17,11.5385,12.4294,42.1341,7.8261,24.1536,4.2135,7.7103,11.236,29.6729,48.0337,48.5981,0.0,0.0,19.6629,17.2897,80.3371,82.7103,36.7978,51.9663,51.4019
Meghalaya,age_22_25,17,12.3539,15.3439,70.816,32.6174,51.4305,,,,,,,8.3472,7.8042,29.9415,17.5573,70.0585,82.4427,,,
Meghalaya,age_26_29,17,17.2549,16.3934,81.4815,59.8793,69.5761,,,,,,,10.9804,12.0715,34.8659,22.6959,65.1341,77.3041,,,
Meghalaya,age_30_33,17,18.0516,14.6484,87.415,78.4226,82.619,,,,,,,6.3037,11.1328,40.6463,23.8095,59.3537,76.1905,,,
Meghalaya,age_34_plus,17,23.8743,19.9573,67.0017,90.9123,80.0115,,,,,,,7.0157,8.2177,60.0084,34.2456,39.9916,65.7544,,,
Meghalaya,age_below10,17,90.4632,93.0591,0.0,0.0,0.0,0.8989,0.7269,0.7865,0.5192,45.5056,41.1215,0.0,0.0,78.6131,78.0102,21.3869,21.9898,44.7191,54.4944,58.8785
Assam,age_10_13,18,28.3492,29.5684,1.8691,0.7703,1.3083,2.2421,2.3977,1.4646,2.5626,12.2202,11.9298,0.0,0.0,6.9801,6.143,93.0199,93.857,10.7556,87.7798,88.0702
Assam,age_14_17,18,8.0206,9.2263,8.687,2.1674,5.2776,3.3721,4.4442,7.0378,19.7702,32.1593,35.824,0.0,0.0,8.3156,6.8062,91.6844,93.1938,25.1215,67.8407,64.176
Assam,age_18_21,18,10.314,11.665,46.644,8.4378,27.233,2.7016,5.0198,16.1586,43.8457,65.9775,62.5863,0.0,0.0,12.3393,8.5576,87.6607,91.4424,49.8189,34.0225,37.4137
Assam,age_22_25,18,12.7671,13.3591,74.2847,31.6743,52.9606,,,,,,,3.6586,3.4438,16.6696,10.1415,83.3304,89.8585,,,
Assam,age_26_29,18,15.8732,14.8117,84.2911,55.8932,69.705,,,,,,,4.9724,5.5584,22.6582,12.8949,77.3418,87.1051,,,
Assam,age_30_33,18,18.3635,15.9251,88.7881,76.4896,82.5287,,,,,,,4.7637,6.3547,28.6692,15.703,71.3308,84.297,,,
