state_name,age_bracket,state_code,Below_primary_share_total_female,CMPR_agri_labourers_female,CMPR_below_primary_female,CMPR_cultivators_female,CMPR_household_industry_female,CMPR_illiterate_female,CMPR_main_workers_female,CMPR_matric_female,CMPR_middle_female,CMPR_non_workers_female,CMPR_other_workers_female,CMPR_primary_female,CMPR_total_female,Graduate_share_total_female,Illiteracy_rate_total_female,Literacy_rate_total_female
Manipur,age_22_25,14,2.9451,22.931,21.632,24.7744,24.738,21.7009,24.3507,27.2007,23.5314,22.4401,23.845,22.2625,23.4565,10.4213,16.6855,83.3145
Manipur,age_26_29,14,3.1276,10.1502,8.5707,11.5756,12.0004,9.7882,12.7641,13.1949,9.3225,10.8246,15.3858,8.9946,11.5733,16.2532,20.3628,79.6372
Manipur,age_30_33,14,3.6208,4.4936,4.0718,5.4383,5.7204,5.0345,6.535,5.3424,3.7178,5.2267,8.9094,3.8608,5.6806,19.3904,23.7796,76.2204
Manipur,age_34_plus,14,7.163,2.5799,2.1686,3.35,2.8291,3.1084,3.5979,2.21,1.6692,2.6236,4.3872,1.9749,2.9517,18.4958,48.8603,51.1397
Manipur,age_below10,14,90.6987,1.2307,1.0242,0.937,1.2347,1.0434,1.0244,1.0376,1.1431,1.0458,1.0737,1.1031,1.0718,0.0,77.4954,22.5046
Mizoram,age_10_13,15,31.2312,0.3769,0.2549,0.4162,0.3492,0.8626,0.3092,0.1093,0.1341,0.1963,0.13,0.2751,0.2855,0.0,6.8319,93.1681
Mizoram,age_14_17,15,6.9484,10.9162,8.9424,10.1134,8.8475,16.722,7.9962,3.0155,6.6617,8.4127,4.1599,9.708,8.4642,0.0,5.7954,94.2046
Mizoram,age_18_21,15,7.5752,44.7173,46.6056,48.128,44.0047,51.633,43.0898,35.8956,45.9289,45.0985,34.9736,47.7202,44.4586,0.0,8.5222,91.4778
Mizoram,age_22_25,15,9.0327,23.2749,23.7243,21.717,26.3679,15.919,24.1611,30.0139,25.3058,24.2173,28.0082,22.6918,24.0068,6.7834,9.6537,90.3463
Mizoram,age_26_29,15,10.8018,8.577,8.4326,7.8,8.8475,4.8665,10.5491,13.4538,9.5305,8.9075,15.2237,8.1105,9.5446,11.3005,9.4866,90.5134
Mizoram,age_30_33,15,12.4496,4.2885,4.3511,3.6277,4.2491,2.5851,5.0128,5.3032,3.7839,3.6838,7.3152,3.5013,4.2505,11.3104,8.7003,91.2997
Mizoram,age_34_plus,15,36.1708,2.937,3.2907,2.4725,2.1537,1.8842,3.1491,2.5623,1.9318,2.0965,4.2733,2.256,2.5607,4.9765,14.0756,85.9244
Mizoram,age_below10,15,94.6009,0.6238,0.6781,0.944,0.6403,1.1549,0.7687,0.5492,0.627,0.6722,0.5294,0.7428,0.7357,0.0,74.7202,25.2798
Tripura,age_10_13,16,35.1375,1.6433,3.8371,1.2908,3.1902,4.0508,2.002,0.3597,1.2843,2.9806,2.3636,2.7881,2.6465,0.0,4.1794,95.8206
Tripura,age_14_17,16,7.6979,19.798,31.6016,16.2289,30.6605,27.0989,20.0267,9.8978,24.9898,27.3425,20.8775,32.88,25.6523,0.0,4.9661,95.0339
Tripura,age_18_21,16,11.4,55.1573,45.825,55.8563,44.6629,46.2265,45.5331,43.5731,47.7116,43.358,37.1158,46.5128,45.1838,0.0,7.6697,92.3303
Tripura,age_22_25,16,14.3322,14.2942,10.8858,16.1127,12.3125,12.5529,16.4919,24.9906,14.8422,14.3023,17.9514,10.1611,14.5006,4.6088,8.6828,91.3172
Tripura,age_26_29,16,17.7864,3.5366,2.5076,4.1079,3.3626,3.0621,7.2132,10.1339,4.2696,4.5089,10.3851,2.2518,4.7092,6.5743,11.0426,88.9574
Tripura,age_30_33,16,19.6781,1.479,1.0115,1.6903,1.5692,1.3827,3.4365,3.7744,1.3247,1.6166,5.1485,0.7451,1.8072,6.2293,12.694,87.306
Tripura,age_34_plus,16,30.8202,0.5716,0.3906,0.7572,0.5691,0.7135,1.4798,1.3161,0.4346,0.5843,2.2439,0.2243,0.6922,5.451,30.4009,69.5991
Tripura,age_below10,16,96.846,0.9764,1.2803,0.9182,1.1899,1.3898,1.0478,1.0034,1.1542,1.3148,1.1214,1.2252,1.2567,0.0,72.3998,27.6002
Meghalaya,age_10_13,17,52.1966,0.7884,0.9271,0.9428,1.5711,1.2955,0.8307,0.4407,0.7733,1.1091,0.6326,1.0641,0.9892,0.0,13.0655,86.9345
Meghalaya,age_14_17,17,17.4995,12.3133,13.4717,10.5221,11.8684,14.2504,10.5468,5.9685,10.9596,13.829,9.8034,13.9608,12.1932,0.0,9.6499,90.3501
Meghalaya,age_18_21,17,16.2734,53.0931,52.3413,51.5871,47.3248,48.5533,48.4555,40.66,48.6997,45.5604,41.6861,51.0287,47.6467,0.0,13.8515,86.1485
