state_name,age_bracket,state_code,Below_primary_share_total_female,Below_primary_share_total_male,CMPR_agri_labourers_female,CMPR_agri_labourers_male,CMPR_below_primary_female,CMPR_below_primary_male,CMPR_cultivators_female,CMPR_cultivators_male,CMPR_household_industry_female,CMPR_household_industry_male,CMPR_illiterate_female,CMPR_illiterate_male,CMPR_main_workers_female,CMPR_main_workers_male,CMPR_matric_female,CMPR_matric_male,CMPR_middle_female,CMPR_middle_male,CMPR_non_workers_female,CMPR_non_workers_male,CMPR_other_workers_female,CMPR_other_workers_male,CMPR_primary_female,CMPR_primary_male,CMPR_total_female,CMPR_total_male,Graduate_share_total_female,Graduate_share_total_male,Illiteracy_rate_total_female,Illiteracy_rate_total_male,Literacy_rate_total_female,Literacy_rate_total_male
Jammu & Kashmir,age_18_21,01,1.9052,1.7446,48.6601,28.7247,44.2974,29.5341,50.7109,29.5787,43.0566,25.9971,47.6196,29.5452,37.2333,22.5314,38.1613,19.3827,45.8666,25.1597,44.112,23.4084,30.8405,19.6141,48.7643,28.1792,44.4565,23.8902,0.0,0.0,21.9608,9.7386,78.0392,90.2614
Jammu & Kashmir,age_22_25,01,1.7277,1.6819,19.4562,34.4278,15.4208,34.0185,17.8136,36.2945,23.2432,33.1815,19.0042,33.9525,24.3393,34.8833,30.1311,36.0078,24.3071,35.5031,22.1065,28.6606,27.2655,34.5267,18.0849,35.4743,21.8872,33.9798,15.8887,13.808,29.1193,12.3394,70.8807,87.6606
Jammu & Kashmir,age_26_29,01,1.5834,1.4199,6.2764,15.8017,4.3035,14.5696,4.7313,15.7077,7.8886,17.6523,5.7457,13.6272,13.0623,20.3315,11.144,22.2649,7.0503,18.8832,7.2344,14.8054,17.1054,22.2996,4.5547,15.9426,7.558,18.5625,21.8588,17.0775,39.2972,15.6431,60.7028,84.3569
Jammu & Kashmir,age_30_33,01,1.96,1.7134,2.9306,8.7039,1.2722,7.1439,1.8239,7.9212,3.1666,9.9136,2.3461,8.8107,5.1267,10.5402,3.0892,9.9539,1.8162,8.2255,2.5027,9.7339,6.6875,11.5618,1.2543,7.2367,2.6401,9.9613,18.1911,14.6508,47.8863,20.1442,52.1137,79.8558
Jammu & Kashmir,age_34_plus,01,3.0053,2.7069,1.0186,3.253,0.5761,2.7684,0.8839,2.9342,1.0369,3.3868,1.043,4.3013,1.4932,3.6119,0.7349,2.8747,0.4515,2.4475,0.9459,4.7612,1.7929,3.8684,0.3599,2.6789,0.9386,3.6815,15.3198,14.8749,70.6123,39.1604,29.3877,60.8396
Jammu & Kashmir,age_below10,01,93.961,93.4658,1.763,1.3948,1.3339,1.1995,1.3776,1.2114,1.6671,1.4544,1.3446,1.2235,1.5569,1.2921,1.3647,1.3084,1.2432,1.3409,1.3245,1.1395,1.6029,1.3037,1.1387,1.2315,1.3511,1.2849,0.0,0.0,78.3851,77.9181,21.6149,22.0819
Himachal Pradesh,age_10_13,02,20.5644,21.2984,2.3204,0.2887,3.3689,0.5342,2.2831,0.3115,1.7617,0.2247,5.7679,0.7625,2.0144,0.2397,0.2574,0.1366,0.5753,0.2114,3.0698,0.5819,1.3827,0.1955,1.641,0.3457,2.5582,0.2994,0.0,0.0,3.2271,2.6997,96.7729,97.3003
Himachal Pradesh,age_14_17,02,1.2855,1.415,23.2486,3.1781,29.7662,5.1243,21.0389,3.4285,18.1995,2.2568,32.5522,6.4494,18.7196,2.3118,4.5878,0.8655,14.0014,2.1997,19.3388,4.201,12.962,1.6157,23.4297,3.8444,19.4709,2.6076,0.0,0.0,2.5766,2.1286,97.4234,97.8714
Himachal Pradesh,age_18_21,02,1.3646,1.7138,52.1825,29.5684,51.6791,36.17,55.3079,31.6075,51.5744,21.2049,47.0505,35.5583,51.3404,23.6261,54.7706,16.5187,62.4171,26.5256,47.8688,24.2365,42.2926,18.7227,58.5601,33.4524,51.2549,23.7977,0.0,0.0,3.533,2.8959,96.467,97.1041
Himachal Pradesh,age_22_25,02,1.6568,1.9247,13.6713,35.0043,8.9394,33.9468,14.4145,36.2353,17.4504,37.5807,8.167,31.9988,17.7655,36.2763,29.0353,39.6799,15.8767,39.9627,18.9322,33.3153,25.8293,36.3246,10.7869,36.7075,17.5266,36.2523,15.9809,11.1095,5.3947,3.4777,94.6053,96.5223
