state_name,age_bracket,state_code,Below_primary_share_ST_female,Below_primary_share_ST_male,CMPR_ST_female,CMPR_ST_male,CMPR_ST_persons,Child_labour_attending_ST_female,Child_labour_attending_ST_male,Child_labour_dropout_ST_female,Child_labour_dropout_ST_male,Dropout_rate_ST_female,Dropout_rate_ST_male,Graduate_share_ST_female,Graduate_share_ST_male,Illiteracy_rate_ST_female,Illiteracy_rate_ST_male,Literacy_rate_ST_female,Literacy_rate_ST_male,Non_worker_dropout_ST_female,School_attendance_rate_ST_female,School_attendance_rate_ST_male
Assam,age_10_13,18,29.0552,30.0902,1.9997,0.891,1.435,4.8469,4.8576,2.5839,2.7321,12.4637,11.297,0.0,0.0,9.9016,8.3194,90.0984,91.6806,9.8798,87.5363,88.703
Assam,age_14_17,18,5.3725,5.5875,8.7724,2.5198,5.5675,7.7953,8.5897,10.0993,13.2054,23.6702,23.3883,0.0,0.0,10.2763,7.9047,89.7237,92.0953,13.5709,76.3298,76.6117
Assam,age_18_21,18,6.1189,5.697,41.4045,12.0397,27.2573,7.205,9.5449,25.6017,30.2462,52.0684,44.0419,0.0,0.0,15.4352,9.9867,84.5648,90.0133,26.4668,47.9316,55.9581
Assam,age_22_25,18,7.4667,6.4165,69.8185,40.2821,55.9963,,,,,,,4.1396,4.39,21.305,12.2604,78.695,87.7396,,,
Assam,age_26_29,18,9.2737,7.7467,81.5465,64.4535,73.2272,,,,,,,5.6818,6.9634,29.2583,16.6498,70.7417,83.3502,,,
Assam,age_30_33,18,11.3862,8.7439,87.1529,81.3494,84.2945,,,,,,,4.6903,7.0163,36.946,20.7496,63.054,79.2504,,,
Assam,age_34_plus,18,21.6377,17.5835,76.1258,91.1134,83.8772,,,,,,,2.9371,6.0989,61.3428,34.0458,38.6572,65.9542,,,
Assam,age_below10,18,92.6863,92.6071,0.0,0.0,0.0,2.0818,1.9661,1.0103,1.0173,34.051,33.4483,0.0,0.0,74.3308,74.2234,25.6692,25.7766,33.0407,65.949,66.5517
West Bengal,age_10_13,19,42.715,42.9657,2.1598,1.271,1.7066,1.8605,1.9146,3.2354,3.507,18.4608,16.6025,0.0,0.0,13.211,10.7566,86.789,89.2434,15.2254,81.5392,83.3975
West Bengal,age_14_17,19,17.5953,17.2751,12.9601,3.0333,7.7105,3.3162,4.1095,17.7037,23.2332,41.052,39.8164,0.0,0.0,18.77,12.8534,81.23,87.1466,23.3483,58.948,60.1836
