state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,CMPR_buddhist_female,CMPR_christian_female,CMPR_hindu_female,CMPR_jain_female,CMPR_muslim_female,CMPR_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Uttarakhand,age_14_17,05,5.3375,2.3923,2.2165,0.4167,10.6613,3.7655,8.1128,9.9969,19.3265,5.0211,18.9564,10.2922,2.8963,4.2539,3.5033,4.7619,18.4167,5.5867,97.1037,95.7461,96.4967,95.2381,81.5833,94.4133,41.2873,40.7382,44.3967,37.5,31.1421,40.3228
Uttarakhand,age_18_21,05,3.2738,1.5175,1.3721,0.6452,7.4639,2.1763,30.2228,34.2215,44.5035,34.5506,52.7872,49.5905,1.4663,6.6572,5.3793,1.8987,25.1788,9.4366,98.5337,93.3428,94.6207,98.1013,74.8212,90.5634,9.8214,13.3536,21.7917,1.9355,22.2294,19.279
Uttarakhand,age_22_25,05,3.4901,1.0759,1.5659,0.489,7.5805,2.8316,17.7577,20.2583,11.8414,34.8315,10.1496,18.1722,3.655,8.5648,9.1707,2.619,36.014,13.745,96.345,91.4352,90.8293,97.381,63.986,86.255,12.4431,11.519,21.798,0.978,20.3828,17.562
Uttarakhand,age_26_29,05,4.3396,2.2161,2.3013,0.0,9.0869,3.4684,10.4805,9.2546,2.41,7.1278,1.7738,3.2881,9.0909,9.8064,16.2291,2.7473,50.5912,21.4427,90.9091,90.1936,83.7709,97.2527,49.4088,78.5573,15.4717,11.3573,21.9766,2.8249,18.6107,17.8206
Uttarakhand,age_30_33,05,3.6866,2.4151,3.5383,0.3049,11.5718,4.0612,4.422,2.8069,0.4755,1.1938,0.487,0.7327,12.1457,12.8863,24.4351,1.5015,62.2859,29.2544,87.8543,87.1137,75.5649,98.4985,37.7141,70.7456,21.8894,10.9434,20.775,1.5244,15.9997,19.5495
Uttarakhand,age_34_plus,05,8.1104,3.2293,7.2025,0.9901,13.5594,5.6317,1.9847,1.2611,0.1502,0.6671,0.1776,0.2494,45.2786,21.6328,53.2709,5.5192,79.4051,46.6583,54.7214,78.3672,46.7291,94.4808,20.5949,53.3417,23.2959,12.3883,17.9084,6.0396,14.8688,17.8629
Uttarakhand,age_below10,05,95.9276,95.3046,95.0347,98.7179,94.5951,95.5097,0.6616,0.7627,0.8293,0.7374,0.6937,0.5726,68.917,72.6863,71.7699,70.3422,76.3819,72.1321,31.083,27.3137,28.2301,29.6578,23.6181,27.8679,0.0,0.0,0.0,0.0,0.0,0.0
Haryana,age_10_13,06,32.3944,33.1561,33.7527,21.3687,60.8903,34.0985,2.0224,1.0724,2.7667,0.3931,2.6711,0.6489,3.4014,8.2317,5.521,2.2526,32.3583,5.0153,96.5986,91.7683,94.479,97.7474,67.6417,94.9847,8.0986,9.8339,9.4488,15.433,3.2014,9.0985
Haryana,age_14_17,06,5.53,4.43,3.3075,0.5772,20.8555,4.0045,13.4646,11.2678,22.3298,6.1295,31.3632,9.5685,8.0508,9.1716,5.8746,1.2821,43.5227,6.1129,91.9492,90.8284,94.1254,98.7179,56.4773,93.8871,37.3272,39.0879,39.478,38.6724,21.6949,38.6483
Haryana,age_18_21,06,0.9709,4.2998,2.3671,0.0,13.1369,2.8748,41.6711,34.8685,44.2452,38.1096,46.4675,46.8124,8.8496,12.848,8.8293,1.9391,55.4566,8.4047,91.1504,87.152,91.1707,98.0609,44.5434,91.5953,9.7087,12.285,13.8493,3.3898,15.1927,12.5181
