CMPR_total_male,CMPR_total_female,state_code,state_name,age_bracket,CMPR_illiterate_male,CMPR_illiterate_female,CMPR_below_primary_male,CMPR_below_primary_female,CMPR_primary_male,CMPR_primary_female,CMPR_middle_male,CMPR_middle_female,CMPR_matric_male,CMPR_matric_female,CMPR_main_workers_male,CMPR_main_workers_female,CMPR_cultivators_male,CMPR_cultivators_female,CMPR_agri_labourers_male,CMPR_agri_labourers_female,CMPR_household_industry_male,CMPR_household_industry_female,CMPR_other_workers_male,CMPR_other_workers_female,CMPR_non_workers_male,CMPR_non_workers_female
17.7725,35.9019,14,MANIPUR,age_18_21,20.6149,39.3472,21.464,39.8308,22.2166,39.5594,21.1081,39.877,16.981,33.1797,17.977,34.9223,20.0166,37.0043,20.6885,40.3748,17.2677,35.7435,15.8685,30.2874,15.5692,35.7869
0.8186,1.0718,14,MANIPUR,age_below10,0.7822,1.0434,0.7465,1.0242,0.739,1.1031,0.7713,1.1431,0.8621,1.0376,0.8058,1.0244,0.7379,0.937,0.9729,1.2307,1.2444,1.2347,0.8364,1.0737,0.7291,1.0458
0.1442,0.2855,15,MIZORAM,age_10_13,0.2862,0.8626,0.1534,0.2549,0.1509,0.2751,0.1433,0.1341,0.1104,0.1093,0.1394,0.3092,0.1935,0.4162,0.1273,0.3769,0.4669,0.3492,0.0824,0.13,0.0384,0.1963
1.545,8.4642,15,MIZORAM,age_14_17,4.1748,16.722,1.776,8.9424,1.7437,9.708,1.3101,6.6617,0.8553,3.0155,1.5713,7.9962,2.2194,10.1134,2.2645,10.9162,1.0611,8.8475,0.9018,4.1599,1.0124,8.4127
24.0654,44.4586,15,MIZORAM,age_18_21,35.1495,51.633,24.8137,46.6056,27.2054,47.7202,25.0657,45.9289,20.625,35.8956,24.4927,43.0898,29.4566,48.128,27.1644,44.7173,23.3871,44.0047,19.5963,34.9736,19.906,45.0985
0.5393,0.7357,15,MIZORAM,age_below10,0.7407,1.1549,0.4472,0.6781,0.6573,0.7428,0.5034,0.627,0.4898,0.5492,0.536,0.7687,0.669,0.944,0.5729,0.6238,0.5518,0.6403,0.4077,0.5294,0.346,0.6722
0.1228,2.6465,16,TRIPURA,age_10_13,0.1996,4.0508,0.1335,3.8371,0.1397,2.7881,0.1,1.2843,0.0797,0.3597,0.1045,2.002,0.1121,1.2908,0.1015,1.6433,0.1413,3.1902,0.101,2.3636,0.228,2.9806
1.9327,25.6523,16,TRIPURA,age_14_17,2.8498,27.0989,2.6973,31.6016,2.4816,32.88,1.6819,24.9898,0.739,9.8978,1.7923,20.0267,1.9794,16.2289,2.2872,19.798,1.9312,30.6605,1.544,20.8775,2.3732,27.3425
20.9964,45.1838,16,TRIPURA,age_18_21,26.7005,46.2265,26.4021,45.825,25.7961,46.5128,19.7759,47.7116,12.7242,43.5731,20.9416,45.5331,25.0943,55.8563,27.318,55.1573,21.4508,44.6629,16.9763,37.1158,16.8962,43.358
0.7488,1.2567,16,TRIPURA,age_below10,0.737,1.3898,0.717,1.2803,0.7735,1.2252,0.7873,1.1542,0.7512,1.0034,0.742,1.0478,0.7342,0.9182,0.7425,0.9764,0.9044,1.1899,0.7413,1.1214,0.7656,1.3148
0.5155,0.9892,17,MEGHALAYA,age_10_13,0.5474,1.2955,0.5286,0.9271,0.5347,1.0641,0.5109,0.7733,0.4806,0.4407,0.5048,0.8307,0.6174,0.9428,0.5114,0.7884,0.7322,1.5711,0.3933,0.6326,0.4444,1.1091
1.9328,12.1932,17,MEGHALAYA,age_14_17,2.3381,14.2504,1.9272,13.4717,2.1097,13.9608,1.8889,10.9596,1.4904,5.9685,1.9068,10.5468,1.8995,10.5221,2.2321,12.3133,2.3352,11.8684,1.8248,9.8034,1.7455,13.829
25.039,47.6467,17,MEGHALAYA,age_18_21,28.1121,48.5533,27.3158,52.3413,26.1319,51.0287,24.5359,48.6997,21.2169,40.66,25.5916,48.4555,27.2687,51.5871,29.2261,53.0931,23.9066,47.3248,23.2017,41.6861,16.8217,45.5604
1.2147,1.6682,17,MEGHALAYA,age_below10,1.23,1.8241,1.1386,1.5807,1.2996,1.7115,1.3,1.5411,1.213,1.2685,1.1621,1.5567,1.3832,1.8196,1.1512,1.5311,1.7613,3.0998,0.945,1.0724,1.103,1.6337
0.1156,1.2351,18,ASSAM,age_10_13,0.1273,1.5174,0.102,1.6806,0.1241,1.5262,0.1075,0.827,0.1095,0.4206,0.1093,1.0188,0.1062,0.9075,0.0996,1.2223,0.131,1.2755,0.1128,1.0008,0.1424,1.3288
1.3313,18.5874,18,ASSAM,age_14_17,1.7653,20.9761,1.5635,22.3048,1.5752,22.6502,1.2398,18.1963,0.727,9.1184,1.246,15.1196,1.2244,14.4978,1.6325,18.3403,1.4059,15.3954,1.1816,14.6703,1.681,19.6541
18.7014,48.3568,18,ASSAM,age_18_21,24.6726,50.8828,21.1733,50.026,21.1423,50.3304,17.3155,49.9011,11.6582,43.0166,18.8106,46.49,20.4992,48.4235,24.9643,51.011,18.6484,48.628,16.1968,44.2565,14.9643,48.3611
1.0949,1.9119,18,ASSAM,age_below10,1.0962,1.9962,1.0607,1.8347,1.1171,1.9007,1.1085,1.7574,1.071,1.4984,1.0981,1.8294,1.1032,1.7947,1.1235,1.9765,1.1638,2.1445,1.086,1.7794,0.9151,1.8988
0.2167,4.2355,19,WEST BENGAL,age_10_13,0.3452,6.6053,0.223,5.0018,0.1988,3.5471,0.1519,1.8856,0.1353,0.7201,0.1679,3.7428,0.1392,3.5671,0.1683,3.967,0.2149,4.5991,0.175,3.3925,0.5344,4.4387
2.8055,34.5751,19,WEST BENGAL,age_14_17,4.3887,40.1322,3.5994,41.3068,3.2055,39.8744,2.0606,32.5569,1.0864,16.5651,2.4866,31.5248,2.2305,30.9585,3.5294,37.7337,2.9933,41.0803,2.0968,25.6844,4.3261,34.7355
24.3649,40.8906,19,WEST BENGAL,age_18_21,32.0386,38.4928,30.4794,40.5368,28.7492,41.9716,21.9483,46.1229,13.8725,48.5983,24.0365,38.781,24.7885,42.1717,32.2073,43.0102,26.5522,41.1625,20.0701,35.603,20.3593,40.6671
1.104,1.4637,19,WEST BENGAL,age_below10,0.9818,1.7014,1.1051,1.4214,1.1349,1.3153,1.1614,1.2288,1.1625,1.1146,1.1143,1.3547,1.0995,1.4232,1.0617,1.447,1.1787,1.2795,1.138,1.3257,0.9719,1.4897
0.4431,3.0359,20,JHARKHAND,age_10_13,0.5658,3.6468,0.4944,3.1907,0.4279,2.6716,0.3728,2.1002,0.345,1.3377,0.3607,2.5637,0.3551,2.3541,0.3703,2.4878,0.4506,3.2433,0.3564,2.7226,1.0092,3.3899
4.6918,30.8184,20,JHARKHAND,age_14_17,6.0778,33.7108,5.6052,34.2323,4.94,32.1106,4.2727,28.9277,3.5151,21.5929,3.8341,26.8447,4.0217,25.5253,4.6058,28.3864,4.3197,31.406,3.4833,26.091,8.1895,31.2251
39.5016,48.5259,20,JHARKHAND,age_18_21,43.8279,48.2821,45.3154,47.6061,45.0097,49.7099,40.9466,50.9245,33.7008,52.1992,36.9272,49.868,40.4086,52.0216,46.0511,52.6888,37.6517,51.2144,32.3514,44.7097,34.8866,46.7947
1.1207,1.888,20,JHARKHAND,age_below10,1.0997,1.9991,1.0256,1.7413,1.0237,1.6502,1.0488,1.5731,1.129,1.3938,1.1176,1.8004,1.0859,1.933,1.115,1.9592,1.1485,1.6059,1.134,1.5556,1.1792,1.8277
0.1386,1.2627,21,ODISHA,age_10_13,0.2008,1.6595,0.1648,1.6385,0.1265,1.142,0.0872,0.5168,0.0883,0.3074,0.1051,1.0181,0.115,0.9776,0.1019,0.9408,0.1197,1.1921,0.0966,1.083,0.3387,1.4395
1.5821,21.7039,21,ODISHA,age_14_17,2.7909,26.1065,1.8796,25.2585,1.5314,22.4496,0.9741,15.9158,0.5672,9.4241,1.2278,20.4279,1.4623,21.0496,1.4146,22.5328,1.1551,22.4179,0.9406,17.8128,3.3412,21.7678
24.3494,52.5577,21,ODISHA,age_18_21,34.8068,54.2088,29.4008,54.1488,26.7087,54.8415,20.2135,54.464,12.661,48.507,22.873,51.7672,27.5429,56.2591,27.9244,57.7111,21.2292,54.8155,16.5486,43.4029,27.445,50.4897
0.9907,1.1062,21,ODISHA,age_below10,0.8782,1.1448,0.954,1.0701,1.0003,1.0068,1.032,0.977,1.0906,0.9968,1.0071,1.0809,0.9488,1.0444,0.9953,1.0804,1.0869,1.1732,1.0571,1.0849,0.9169,1.1196
1.2265,4.6491,22,CHHATTISGARH,age_10_13,1.9325,6.528,2.0244,4.7832,1.1582,2.9708,0.6871,1.5393,0.4668,0.7371,1.0295,4.8067,1.3285,5.1743,1.2098,4.8609,0.8949,4.3505,0.5812,3.9289,3.2693,4.9975
7.4588,31.2258,22,CHHATTISGARH,age_14_17,11.0344,36.9046,11.0744,35.1491,8.0143,30.6038,5.5248,24.5775,2.9497,12.5201,6.6429,32.7353,7.9672,32.8201,8.2939,34.9263,5.934,32.4976,4.0834,27.346,14.0768,29.7276
45.5325,49.1662,22,CHHATTISGARH,age_18_21,52.1899,46.11,52.7827,49.1235,53.0588,54.5161,49.0909,58.7012,32.5892,57.7322,44.9678,49.1919,51.3162,50.9503,54.0443,50.6689,41.0339,49.3588,31.9326,41.8647,38.5934,45.8065
1.0645,2.1977,22,CHHATTISGARH,age_below10,1.18,2.7266,1.2268,2.0704,0.961,1.5876,0.8104,1.2962,0.9552,0.9835,1.0142,2.314,1.0212,2.638,0.9583,2.291,1.1581,2.3919,1.0378,1.6639,1.7632,2.2087
1.2806,5.0505,23,MADHYA PRADESH,age_10_13,1.8435,6.6667,1.5778,5.0439,1.3134,3.8444,0.9966,2.4023,0.7306,1.5153,1.1221,5.0637,1.4027,5.4353,1.1827,4.8078,1.1342,6.8393,0.766,4.5779,2.327,4.9084
9.0415,32.3883,23,MADHYA PRADESH,age_14_17,12.5797,38.0554,11.02,34.4878,9.7123,32.1377,8.1268,26.3276,5.2487,15.9368,8.3332,33.0475,10.5923,34.2983,9.4336,34.3784,7.6736,37.2075,5.1091,27.1723,13.177,30.5759
51.3517,48.589,23,MADHYA PRADESH,age_18_21,58.285,46.6234,55.2806,49.0406,55.6407,51.6566,54.3774,55.6464,43.6606,56.086,51.4668,49.9759,60.3532,51.8028,60.186,52.4575,44.0536,44.6081,36.1873,42.5489,40.6448,46.8121
1.1352,2.1223,23,MADHYA PRADESH,age_below10,1.1187,2.4075,1.0618,1.978,1.0329,1.7633,1.0363,1.5642,1.1418,1.3309,1.1133,2.1885,1.0167,2.3816,0.9755,2.1403,1.272,2.0112,1.3028,1.9774,1.373,2.0049
0.6364,1.8748,24,GUJARAT,age_10_13,0.7841,2.3549,0.7539,2.4784,0.7292,1.9416,0.6761,1.4853,0.5051,0.9352,0.5699,1.7923,0.6203,1.4322,0.6445,1.7928,0.677,2.3212,0.5193,1.9344,1.0561,1.924
3.756,15.1352,24,GUJARAT,age_14_17,5.3798,19.7238,4.9907,18.9672,4.3604,15.9071,3.8804,12.4375,2.5674,6.9082,3.4325,15.098,4.6633,13.9297,4.9889,16.9109,3.0501,14.4087,2.3387,13.8897,5.5923,14.7882
41.4537,58.4071,24,GUJARAT,age_18_21,51.8628,61.1767,49.808,60.3477,46.6572,60.5135,42.4807,59.4572,34.7292,57.781,41.5699,59.1889,52.9477,65.4149,52.7421,63.8772,39.7215,57.7232,32.4385,51.7969,37.4648,57.1158
1.4572,2.6836,24,GUJARAT,age_below10,1.3956,3.063,1.2839,2.6862,1.3156,2.4343,1.39,2.2165,1.4505,1.7809,1.4186,2.7564,1.2897,2.8437,1.3913,3.1545,1.4309,2.3905,1.491,2.3424,1.5795,2.5342
0.3921,1.5853,25,DAMAN & DIU,age_10_13,0.5912,2.9783,0.4025,1.8361,0.5377,1.426,0.4482,1.2752,0.2684,0.5654,0.3897,1.6891,0.3364,0.6369,0.4484,1.0204,0.8621,5.3333,0.3888,1.7099,0.3072,1.5574
3.5341,18.2074,25,DAMAN & DIU,age_14_17,6.6211,27.9986,4.7124,22.9615,4.0931,19.5416,3.621,16.8843,2.6331,10.0935,3.4133,18.8187,3.196,17.5159,2.2422,22.449,3.4483,17.3333,3.4212,18.7976,4.6083,17.8768
33.0069,54.4796,25,DAMAN & DIU,age_18_21,46.0457,52.1574,40.3991,55.0247,39.2215,57.3888,38.0471,57.9659,26.7419,59.0532,33.1354,51.0674,34.4828,65.2866,43.0493,56.6327,34.0517,48.0,33.0726,50.4799,29.3834,55.271
1.299,1.5304,25,DAMAN & DIU,age_below10,1.1561,1.9742,1.3248,1.1056,1.4045,1.3732,1.125,1.352,1.3975,1.2287,1.3108,1.7513,1.2616,1.9108,0.8969,2.0408,0.8621,2.6667,1.3148,1.7319,1.163,1.4767
