state_name,age_bracket,state_code,CMPR_agri_labourers_male,CMPR_below_primary_male,CMPR_cultivators_male,CMPR_household_industry_male,CMPR_illiterate_male,CMPR_main_workers_male,CMPR_matric_male,CMPR_middle_male,CMPR_non_workers_male,CMPR_other_workers_male,CMPR_primary_male,CMPR_total_male
Madhya Pradesh,age_18_21,23,60.186,55.2806,60.3532,44.0536,58.285,51.4668,43.6606,54.3774,40.6448,36.1873,55.6407,51.3517
Madhya Pradesh,age_below10,23,0.9755,1.0618,1.0167,1.272,1.1187,1.1133,1.1418,1.0363,1.373,1.3028,1.0329,1.1352
Gujarat,age_10_13,24,0.6445,0.7539,0.6203,0.677,0.7841,0.5699,0.5051,0.6761,1.0561,0.5193,0.7292,0.6364
Gujarat,age_14_17,24,4.9889,4.9907,4.6633,3.0501,5.3798,3.4325,2.5674,3.8804,5.5923,2.3387,4.3604,3.756
Gujarat,age_18_21,24,52.7421,49.808,52.9477,39.7215,51.8628,41.5699,34.7292,42.4807,37.4648,32.4385,46.6572,41.4537
Gujarat,age_below10,24,1.3913,1.2839,1.2897,1.4309,1.3956,1.4186,1.4505,1.39,1.5795,1.491,1.3156,1.4572
Daman & Diu,age_10_13,25,0.4484,0.4025,0.3364,0.8621,0.5912,0.3897,0.2684,0.4482,0.3072,0.3888,0.5377,0.3921
Daman & Diu,age_14_17,25,2.2422,4.7124,3.196,3.4483,6.6211,3.4133,2.6331,3.621,4.6083,3.4212,4.0931,3.5341
Daman & Diu,age_18_21,25,43.0493,40.3991,34.4828,34.0517,46.0457,33.1354,26.7419,38.0471,29.3834,33.0726,39.2215,33.0069
Daman & Diu,age_below10,25,0.8969,1.3248,1.2616,0.8621,1.1561,1.3108,1.3975,1.125,1.163,1.3148,1.4045,1.299
Dadra & Nagar Haveli,age_10_13,26,0.1151,0.2454,0.2215,0.0,0.3996,0.3089,0.2182,0.4419,0.484,0.3439,0.364,0.3164
Dadra & Nagar Haveli,age_14_17,26,4.9099,5.7416,5.4564,3.3219,6.3364,3.5427,1.9992,3.4248,6.3504,2.9977,5.0279,3.8001
Dadra & Nagar Haveli,age_18_21,26,59.2252,54.5577,55.5134,41.8099,54.1143,41.2093,32.8917,45.8755,40.0581,36.7733,50.2455,41.7222
Dadra & Nagar Haveli,age_below10,26,2.1097,1.7298,1.4179,1.1455,1.6082,1.5211,1.4497,1.4822,1.6457,1.528,1.4982,1.6058
Maharashtra,age_10_13,27,0.4046,0.5317,0.3553,0.5313,0.8712,0.3932,0.3102,0.3767,0.8564,0.4022,0.4843,0.4613
Maharashtra,age_14_17,27,2.5446,3.2784,2.0869,2.2896,5.2245,1.9131,1.1542,1.8498,5.01,1.5902,2.7349,2.3535
Maharashtra,age_18_21,27,37.2476,37.3831,34.7171,26.1005,41.1643,27.6239,20.5722,28.0306,26.3645,20.8344,33.9922,27.6308
Maharashtra,age_below10,27,1.9708,1.8709,2.0294,2.4316,1.9322,2.2952,2.4696,2.1346,2.014,2.5336,1.9989,2.2591
Andhra Pradesh,age_10_13,28,0.4339,0.6141,0.6095,0.6188,0.8884,0.4339,0.2836,0.3167,1.3777,0.3414,0.3696,0.5514
Andhra Pradesh,age_14_17,28,3.9619,4.5722,4.0573,3.1288,5.7538,3.173,1.789,2.7149,6.7908,2.2157,3.2593,3.6357
Andhra Pradesh,age_18_21,28,42.2345,41.7439,38.3547,33.2927,42.775,34.1618,26.056,33.9607,31.9693,26.6602,37.9743,34.1243
Andhra Pradesh,age_below10,28,1.8639,1.8391,2.045,2.2534,1.9462,2.0661,2.1814,1.9782,1.9712,2.2055,1.8922,2.059
Karnataka,age_10_13,29,0.241,0.2157,0.1723,0.2483,0.3063,0.1739,0.1402,0.1574,0.3436,0.1519,0.1905,0.1992
Karnataka,age_14_17,29,1.3183,1.1609,0.8739,0.9577,1.7304,0.8301,0.5198,0.7741,1.8981,0.655,1.0154,0.9776
Karnataka,age_18_21,29,25.6994,22.5953,20.8421,18.9591,27.3382,17.9945,12.6166,17.439,19.0433,14.0102,20.8352,18.443
Karnataka,age_below10,29,1.6318,1.5647,1.5211,1.7897,1.5796,1.6322,1.6749,1.5451,1.4592,1.691,1.5966,1.6236
Goa,age_10_13,30,0.3079,0.3169,0.284,0.4773,0.6848,0.3351,0.2846,0.3281,0.3324,0.3343,0.3689,0.3407
Goa,age_14_17,30,0.7504,1.2379,0.9528,0.8591,2.8158,0.7879,0.4327,0.7785,1.1919,0.7793,1.2259,0.9018
Goa,age_18_21,30,11.8722,13.8686,12.1942,8.4473,20.6216,8.2819,5.2392,8.2763,8.9895,8.0185,12.7283,8.8044
Goa,age_below10,30,1.3662,1.3534,1.5208,1.384,1.4171,1.3201,1.1979,1.319,1.0893,1.3082,1.3908,1.2902
Lakshadweep,age_10_13,31,,0.0449,,0.0,0.3822,0.0126,0.0457,0.0314,0.1226,0.0127,0.0831,0.0619
Lakshadweep,age_14_17,31,,1.7969,,0.0,3.5669,0.4291,0.2972,0.3768,1.7161,0.4324,1.1908,0.9036
Lakshadweep,age_18_21,31,,23.7646,,20.0,24.4586,10.7283,7.0645,10.8634,18.6565,10.6575,16.9759,13.3688
Lakshadweep,age_below10,31,,0.9434,,1.6667,0.8917,0.8078,0.7545,0.7849,0.7845,0.8012,0.72,0.7551
Kerala,age_10_13,32,0.0293,0.0437,0.0172,0.0313,0.0965,0.0238,0.0217,0.0263,0.0563,0.0236,0.0322,0.0312
