state_name,age_bracket,state_code,CMPR_buddhist_male,CMPR_christian_male,CMPR_hindu_male,CMPR_jain_male,CMPR_muslim_male,CMPR_sikh_male,Illiteracy_rate_buddhist_male,Illiteracy_rate_christian_male,Illiteracy_rate_hindu_male,Illiteracy_rate_jain_male,Illiteracy_rate_muslim_male,Illiteracy_rate_sikh_male,Literacy_rate_buddhist_male,Literacy_rate_christian_male,Literacy_rate_hindu_male,Literacy_rate_jain_male,Literacy_rate_muslim_male,Literacy_rate_sikh_male
Madhya Pradesh,age_below10,23,1.1551,1.1623,1.0666,1.338,1.1026,1.2893,71.3742,73.8714,74.1312,69.9543,74.5859,72.5693,28.6258,26.1286,25.8688,30.0457,25.4141,27.4307
Gujarat,age_10_13,24,0.6398,0.3702,0.6092,0.1966,0.3486,0.6484,4.8387,4.199,4.9262,1.8871,5.6876,6.9927,95.1613,95.801,95.0738,98.1129,94.3124,93.0073
Gujarat,age_14_17,24,2.2146,1.7444,3.5865,0.5215,1.6267,1.6387,7.9698,4.0855,5.3043,1.0595,6.4069,6.5777,92.0302,95.9145,94.6957,98.9405,93.5931,93.4223
Gujarat,age_18_21,24,29.8474,29.1275,39.9262,12.454,32.9167,23.6015,7.2222,4.2919,6.6183,1.0753,7.9084,7.8969,92.7778,95.7081,93.3817,98.9247,92.0916,92.1031
Gujarat,age_below10,24,1.4518,1.3289,1.3842,1.6765,1.3481,1.4854,74.1778,70.959,72.2037,69.742,73.1372,71.7645,25.8222,29.041,27.7963,30.258,26.8628,28.2355
Daman & Diu,age_10_13,25,1.5385,0.0,0.3898,0.0,0.2676,0.0,0.0,0.0,2.6927,0.0,5.8282,12.5,100.0,100.0,97.3073,100.0,94.1718,87.5
Daman & Diu,age_14_17,25,0.0,1.3908,3.5249,0.0,2.1216,1.8868,0.0,3.4091,5.16,16.6667,8.6563,0.0,100.0,96.5909,94.84,83.3333,91.3437,100.0
Daman & Diu,age_18_21,25,18.4615,6.9541,32.7988,8.1395,28.7271,13.2075,0.0,2.439,7.6337,0.0,10.7417,0.0,100.0,97.561,92.3663,100.0,89.2583,100.0
Daman & Diu,age_below10,25,0.0,1.1127,1.2657,1.1628,1.2615,3.7736,60.8696,65.2632,74.2308,73.6842,74.6601,70.0,39.1304,34.7368,25.7692,26.3158,25.3399,30.0
Dadra & Nagar Haveli,age_10_13,26,0.0,0.1693,0.3108,0.0,0.2582,0.0,5.2632,0.8658,3.0393,4.4444,5.0485,0.0,94.7368,99.1342,96.9607,95.5556,94.9515,100.0
Dadra & Nagar Haveli,age_14_17,26,3.4483,2.8789,3.6465,0.5764,2.2956,2.8571,8.3333,3.653,4.5618,0.0,4.3315,10.0,91.6667,96.347,95.4382,100.0,95.6685,90.0
Dadra & Nagar Haveli,age_18_21,26,30.4598,30.398,40.9742,12.3919,35.5524,12.8571,6.6667,4.2017,6.7163,3.7037,8.9669,0.0,93.3333,95.7983,93.2837,96.2963,91.0331,100.0
Dadra & Nagar Haveli,age_below10,26,1.1494,1.5241,1.5641,2.0173,1.4347,0.0,81.0127,68.3521,72.2961,68.3168,71.8639,82.3529,18.9873,31.6479,27.7039,31.6832,28.1361,17.6471
Maharashtra,age_10_13,27,0.3786,0.2925,0.4207,0.2599,0.3715,0.3183,2.9842,3.4009,4.159,2.6099,5.1291,4.6751,97.0158,96.5991,95.841,97.3901,94.8709,95.3249
Maharashtra,age_14_17,27,1.8313,0.6603,2.0859,0.757,1.834,1.1676,2.6843,3.0788,3.9212,1.8659,5.3371,3.6218,97.3157,96.9212,96.0788,98.1341,94.6629,96.3782
Maharashtra,age_18_21,27,24.2455,10.055,26.5823,12.0259,27.4226,15.1558,3.0369,3.278,4.4909,1.8893,7.0402,4.0121,96.9631,96.722,95.5091,98.1107,92.9598,95.9879
Maharashtra,age_below10,27,2.0045,2.2069,2.202,2.9491,2.1059,2.3904,72.2608,71.2261,73.1136,70.5635,73.9297,72.7604,27.7392,28.7739,26.8864,29.4365,26.0703,27.2396
Andhra Pradesh,age_10_13,28,0.5745,0.3576,0.4751,0.3865,0.3078,0.8219,5.7814,4.9258,4.82,2.9365,6.8214,10.6759,94.2186,95.0742,95.18,97.0635,93.1786,89.3241
Andhra Pradesh,age_14_17,28,3.6611,2.4794,3.3143,1.2906,1.8132,2.7426,6.7073,5.3228,5.6272,2.5441,7.8104,9.7739,93.2927,94.6772,94.3728,97.4559,92.1896,90.2261
Andhra Pradesh,age_18_21,28,34.8541,27.9853,32.9014,19.7529,27.0563,22.3474,8.0255,7.1211,7.8368,2.7695,9.5869,10.8553,91.9745,92.8789,92.1632,97.2305,90.4131,89.1447
Andhra Pradesh,age_below10,28,1.9376,1.9292,1.9717,2.8159,2.1238,2.8627,75.2407,72.4382,72.3363,71.8239,73.3904,75.4925,24.7593,27.5618,27.6637,28.1761,26.6096,24.5075
Karnataka,age_10_13,29,0.2665,0.1139,0.1808,0.1343,0.1655,0.1742,3.6774,2.6942,3.8999,2.1305,4.2593,4.2885,96.3226,97.3058,96.1001,97.8695,95.7407,95.7115
Karnataka,age_14_17,29,1.5325,0.3845,0.8535,0.7227,0.8976,0.8587,4.3185,2.3302,4.6799,1.3936,5.4858,5.0605,95.6815,97.6698,95.3201,98.6064,94.5142,94.9395
Karnataka,age_18_21,29,22.5218,8.3496,17.3183,13.4306,19.4569,14.7729,5.3292,2.6779,6.4984,1.924,7.7427,5.8565,94.6708,97.3221,93.5016,98.076,92.2573,94.1435
Karnataka,age_below10,29,1.794,1.4884,1.5421,1.8274,1.8471,1.8046,70.7248,71.5691,72.8459,71.136,72.9783,72.1666,29.2752,28.4309,27.1541,28.864,27.0217,27.8334
