state_name,age_bracket,state_code,Below_primary_share_SC_female,Below_primary_share_SC_male,CMPR_SC_female,CMPR_SC_male,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_attending_SC_male,Child_labour_dropout_SC_female,Child_labour_dropout_SC_male,Dropout_rate_SC_female,Dropout_rate_SC_male,Illiteracy_rate_SC_female,Illiteracy_rate_SC_male,Literacy_rate_SC_female,Literacy_rate_SC_male,Non_worker_dropout_SC_female,School_attendance_rate_SC_female,School_attendance_rate_SC_male
Jharkhand,age_18_21,20,10.1363,7.4112,86.0943,49.21,67.4757,2.7849,6.2909,33.2374,41.8859,73.9235,55.2445,40.6599,18.3398,59.3401,81.6602,40.6861,26.0765,44.7555
Jharkhand,age_below10,20,95.8235,95.2,0.0,0.0,0.0,1.0778,1.1479,0.8288,0.8495,44.2123,42.2112,77.4731,76.5022,22.5269,23.4978,43.3835,55.7877,57.7888
Odisha,age_10_13,21,26.6325,27.24,1.6884,0.8597,1.2708,1.5475,1.6575,2.3723,2.508,14.1548,11.9142,7.798,5.929,92.202,94.071,11.7825,85.8452,88.0858
Odisha,age_14_17,21,7.6124,6.349,15.5396,2.8626,9.2157,1.8534,2.6223,14.9025,22.3517,49.0444,43.7193,11.655,6.6514,88.345,93.3486,34.1419,50.9556,56.2807
Odisha,age_18_21,21,10.5255,7.7392,64.9091,22.9757,44.1389,1.1801,2.6271,27.0979,50.8682,82.0367,74.4084,17.7121,8.2215,82.2879,91.7785,54.9388,17.9633,25.5916
Odisha,age_below10,21,95.2155,95.087,0.0,0.0,0.0,0.753,0.7589,0.4714,0.4784,30.9704,30.5353,74.0699,74.0212,25.9301,25.9788,30.4991,69.0296,69.4647
Chhattisgarh,age_10_13,22,42.8532,44.1776,1.5151,0.9487,1.2291,3.3672,3.1659,1.6573,1.8165,8.0906,7.6514,5.739,4.8973,94.261,95.1027,6.4333,91.9094,92.3486
Chhattisgarh,age_14_17,22,6.7591,7.106,15.3438,3.199,9.1241,5.4351,6.0949,12.9916,15.4224,27.7204,25.9443,8.0884,5.1417,91.9116,94.8583,14.7288,72.2796,74.0557
Chhattisgarh,age_18_21,22,7.2116,6.801,70.7248,36.504,53.5349,3.7403,6.1736,36.0809,42.7389,65.0956,55.3199,12.8263,6.3161,87.1737,93.6839,29.0148,34.9044,44.6801
Chhattisgarh,age_below10,22,97.7243,97.4969,0.0,0.0,0.0,0.8524,0.8314,0.3274,0.3501,32.6613,32.8529,74.4524,74.4703,25.5476,25.5297,32.3339,67.3387,67.1471
Madhya Pradesh,age_10_13,23,38.1892,39.6737,2.644,1.5287,2.0638,2.2506,2.2478,1.8445,2.2225,8.8492,8.3195,7.0699,6.2552,92.9301,93.7448,7.0047,91.1508,91.6805
Madhya Pradesh,age_14_17,23,7.5871,7.478,23.8463,6.2657,14.2005,3.4411,4.4454,12.9586,19.3035,31.1274,28.9038,9.5467,7.1525,90.4533,92.8475,18.1688,68.8726,71.0962
Madhya Pradesh,age_18_21,23,7.1796,6.881,79.3387,43.9601,60.3554,2.72,5.2044,32.8969,48.7806,68.2582,58.9184,19.1586,9.5065,80.8414,90.4935,35.3613,31.7418,41.0816
Madhya Pradesh,age_below10,23,95.8869,95.8226,0.0,0.0,0.0,0.8319,0.8365,0.4954,0.4923,32.7985,33.6422,73.6496,73.7839,26.3504,26.2161,32.3031,67.2015,66.3578
Gujarat,age_10_13,24,24.4162,24.4344,2.9511,1.728,2.3034,1.4115,1.5082,2.0026,2.5671,11.5839,7.8029,4.5528,3.3157,95.4472,96.6843,9.5813,88.4161,92.1971
Gujarat,age_14_17,24,6.1369,4.4573,14.3599,4.7684,9.2695,2.2232,3.1415,12.6149,18.2553,41.8544,27.9603,5.6177,3.2518,94.3823,96.7482,29.2395,58.1456,72.0397
