state_name,age_bracket,state_code,Below_primary_share_buddhist_female,Below_primary_share_christian_female,Below_primary_share_hindu_female,Below_primary_share_jain_female,Below_primary_share_muslim_female,Below_primary_share_sikh_female,CMPR_buddhist_female,CMPR_christian_female,CMPR_hindu_female,CMPR_jain_female,CMPR_muslim_female,CMPR_sikh_female,Illiteracy_rate_buddhist_female,Illiteracy_rate_christian_female,Illiteracy_rate_hindu_female,Illiteracy_rate_jain_female,Illiteracy_rate_muslim_female,Illiteracy_rate_sikh_female,Literacy_rate_buddhist_female,Literacy_rate_christian_female,Literacy_rate_hindu_female,Literacy_rate_jain_female,Literacy_rate_muslim_female,Literacy_rate_sikh_female,Middle_school_share_buddhist_female,Middle_school_share_christian_female,Middle_school_share_hindu_female,Middle_school_share_jain_female,Middle_school_share_muslim_female,Middle_school_share_sikh_female
Nagaland,age_18_21,13,4.0,6.6098,8.166,0.0,16.0677,0.0,28.6408,32.6361,38.0986,35.6164,37.4031,31.8841,17.2185,11.3616,14.9848,5.4054,43.3533,20.0,82.7815,88.6384,85.0152,94.5946,56.6467,80.0,21.6,27.3836,24.4087,11.4286,22.1987,25.0
Nagaland,age_below10,13,91.7949,93.7859,93.7649,84.8485,89.4796,93.75,1.7476,1.3847,2.0664,1.5068,2.548,0.4831,77.9661,76.4806,77.5906,69.3023,86.6767,79.4872,22.0339,23.5194,22.4094,30.6977,13.3233,20.5128,0.0,0.0,0.0,0.0,0.0,0.0
Manipur,age_10_13,14,30.2083,29.045,30.5162,17.4603,41.9365,15.7895,0.3934,0.5136,0.4397,1.2526,0.9724,0.9677,15.0442,18.4248,8.3417,5.9701,21.4778,5.0,84.9558,81.5752,91.6583,94.0299,78.5222,95.0,10.7639,13.6514,13.6155,20.6349,10.4892,13.1579
Manipur,age_14_17,14,6.8,4.6037,2.8188,0.0,7.9777,4.1667,10.0328,8.5018,8.7122,8.977,16.5271,4.8387,10.7143,13.2518,5.5273,9.8361,21.4598,7.6923,89.2857,86.7482,94.4727,90.1639,78.5402,92.3077,40.4,42.4989,49.3726,49.0909,43.2551,45.8333
Manipur,age_18_21,14,3.9474,3.2464,2.3853,0.0,5.3278,0.0,30.0328,31.3233,29.6312,38.4134,41.6993,36.4516,13.6364,16.7212,7.6252,12.9032,28.1278,15.7895,86.3636,83.2788,92.3748,87.0968,71.8722,84.2105,28.9474,24.8791,29.7775,22.2222,39.5532,25.0
Manipur,age_below10,14,91.6129,88.566,91.8875,93.3333,92.6187,84.6154,1.377,0.7934,1.0433,0.8351,1.1646,1.9355,77.8887,78.3512,76.2456,78.1022,79.1516,77.3913,22.1113,21.6488,23.7544,21.8978,20.8484,22.6087,0.0,0.0,0.0,0.0,0.0,0.0
Mizoram,age_10_13,15,69.1848,28.2445,33.3333,46.6667,51.2748,20.0,1.166,0.1626,0.618,3.3333,1.6956,0.0,40.8685,2.5474,6.7052,25.0,23.9224,0.0,59.1315,97.4526,93.2948,75.0,76.0776,100.0,2.7407,11.8948,11.6481,6.6667,8.7819,0.0
Mizoram,age_14_17,15,36.8891,5.2504,10.5556,6.25,23.8434,,18.7315,6.152,11.9817,6.6667,22.0024,6.25,48.3862,1.5133,7.3359,11.1111,25.0667,100.0,51.6138,98.4867,92.6641,88.8889,74.9333,0.0,22.6484,51.1649,44.3056,43.75,36.6548,
Mizoram,age_18_21,15,34.214,6.3822,8.2011,28.5714,20.0,0.0,51.4552,34.5195,38.9753,45.0,38.9584,46.875,63.2881,2.2904,9.7852,30.0,32.7731,25.0,36.7119,97.7096,90.2148,70.0,67.2269,75.0,21.7966,26.1467,17.4603,28.5714,23.75,0.0
Mizoram,age_below10,15,97.663,94.4168,92.9795,100.0,95.4819,100.0,1.3165,0.5689,0.7974,6.6667,0.8882,0.0,85.8451,73.1779,75.1489,76.0,79.6319,72.0,14.1549,26.8221,24.8511,24.0,20.3681,28.0,0.0,0.0,0.0,0.0,0.0,0.0
