state_name,age_bracket,state_code,Below_primary_share_SC_female,CMPR_SC_female,CMPR_SC_persons,Child_labour_attending_SC_female,Child_labour_dropout_SC_female,Dropout_rate_SC_female,Illiteracy_rate_SC_female,Literacy_rate_SC_female,Non_worker_dropout_SC_female,School_attendance_rate_SC_female
Meghalaya,age_22_25,17,12.3539,81.4815,68.3828,,,,29.9415,70.0585,,
Meghalaya,age_26_29,17,17.2549,,,,,,34.8659,65.1341,,
Meghalaya,age_30_33,17,18.0516,87.415,82.619,,,,40.6463,59.3537,,
Meghalaya,age_34_plus,17,23.8743,67.0017,80.0115,,,,60.0084,39.9916,,
Meghalaya,age_below10,17,90.4632,0.0,0.0,0.8989,0.7865,45.5056,78.6131,21.3869,44.7191,54.4944
Assam,age_10_13,18,28.3492,1.8691,1.3083,2.2421,1.4646,12.2202,6.9801,93.0199,10.7556,87.7798
Assam,age_14_17,18,8.0206,19.201,10.7348,3.3721,7.0378,32.1593,8.3156,91.6844,25.1215,67.8407
Assam,age_18_21,18,10.314,64.8957,42.4861,2.7016,16.1586,65.9775,12.3393,87.6607,49.8189,34.0225
Assam,age_22_25,18,12.7671,83.7415,68.0686,,,,16.6696,83.3304,,
Assam,age_26_29,18,15.8732,,,,,,22.6582,77.3418,,
Assam,age_30_33,18,18.3635,88.7881,82.5287,,,,28.6692,71.3308,,
Assam,age_34_plus,18,30.9235,70.4396,81.0143,,,,52.8772,47.1228,,
Assam,age_below10,18,93.2597,0.0,0.0,1.1131,0.4555,31.8882,72.5628,27.4372,31.4326,68.1118
West Bengal,age_10_13,19,31.2608,2.2856,1.812,1.4949,1.4313,11.9046,7.3524,92.6476,10.4733,88.0954
West Bengal,age_14_17,19,11.4434,31.0667,17.1826,2.3091,7.5958,32.8441,10.2806,89.7194,25.2482,67.1559
West Bengal,age_18_21,19,16.7913,80.4493,56.1212,2.1077,16.156,69.8208,16.6632,83.3368,53.6648,30.1792
West Bengal,age_22_25,19,21.7849,91.6056,79.4394,,,,23.8355,76.1645,,
West Bengal,age_26_29,19,27.4398,,,,,,32.5555,67.4445,,
West Bengal,age_30_33,19,31.2291,93.1617,89.8608,,,,40.2905,59.7095,,
West Bengal,age_34_plus,19,39.3824,73.2226,83.5361,,,,64.743,35.257,,
West Bengal,age_below10,19,93.7522,0.0,0.0,0.6746,0.4158,33.5032,72.095,27.905,33.0874,66.4968
Jharkhand,age_10_13,20,46.7836,2.3077,1.8023,3.3448,2.7962,17.9884,16.0736,83.9264,15.1922,82.0116
Jharkhand,age_14_17,20,9.9963,31.1096,17.3829,4.3285,12.889,36.8803,22.3274,77.6726,23.9913,63.1197
Jharkhand,age_18_21,20,10.1363,86.0943,67.4757,2.7849,33.2374,73.9235,40.6599,59.3401,40.6861,26.0765
Jharkhand,age_22_25,20,12.9057,94.3638,88.4525,,,,53.6399,46.3601,,
Jharkhand,age_26_29,20,15.0252,,,,,,63.3828,36.6172,,
Jharkhand,age_30_33,20,16.7364,94.7974,94.0773,,,,70.8197,29.1803,,
Jharkhand,age_34_plus,20,19.2944,78.2079,85.1314,,,,86.1846,13.8154,,
Jharkhand,age_below10,20,95.8235,0.0,0.0,1.0778,0.8288,44.2123,77.4731,22.5269,43.3835,55.7877
Odisha,age_10_13,21,26.6325,1.6884,1.2708,1.5475,2.3723,14.1548,7.798,92.202,11.7825,85.8452
Odisha,age_14_17,21,7.6124,15.5396,9.2157,1.8534,14.9025,49.0444,11.655,88.345,34.1419,50.9556
Odisha,age_18_21,21,10.5255,64.9091,44.1389,1.1801,27.0979,82.0367,17.7121,82.2879,54.9388,17.9633
Odisha,age_22_25,21,13.3836,87.3826,74.8041,,,,23.2634,76.7366,,
Odisha,age_26_29,21,19.1544,,,,,,31.6336,68.3664,,
Odisha,age_30_33,21,26.3322,91.6401,89.4877,,,,41.8712,58.1288,,
Odisha,age_34_plus,21,39.812,76.6544,84.5799,,,,70.0173,29.9827,,
Odisha,age_below10,21,95.2155,0.0,0.0,0.753,0.4714,30.9704,74.0699,25.9301,30.4991,69.0296
Chhattisgarh,age_10_13,22,42.8532,1.5151,1.2291,3.3672,1.6573,8.0906,5.739,94.261,6.4333,91.9094
Chhattisgarh,age_14_17,22,6.7591,15.3438,9.1241,5.4351,12.9916,27.7204,8.0884,91.9116,14.7288,72.2796
Chhattisgarh,age_18_21,22,7.2116,70.7248,53.5349,3.7403,36.0809,65.0956,12.8263,87.1737,29.0148,34.9044
Chhattisgarh,age_22_25,22,8.401,88.0823,82.5177,,,,19.7828,80.2172,,
Chhattisgarh,age_26_29,22,11.6406,,,,,,30.587,69.413,,
Chhattisgarh,age_30_33,22,17.6161,91.2684,91.4527,,,,44.5807,55.4193,,
Chhattisgarh,age_34_plus,22,29.1703,74.2935,82.7394,,,,75.9962,24.0038,,
Chhattisgarh,age_below10,22,97.7243,0.0,0.0,0.8524,0.3274,32.6613,74.4524,25.5476,32.3339,67.3387
Madhya Pradesh,age_10_13,23,38.1892,2.644,2.0638,2.2506,1.8445,8.8492,7.0699,92.9301,7.0047,91.1508
Madhya Pradesh,age_14_17,23,7.5871,23.8463,14.2005,3.4411,12.9586,31.1274,9.5467,90.4533,18.1688,68.8726
Madhya Pradesh,age_18_21,23,7.1796,79.3387,60.3554,2.72,32.8969,68.2582,19.1586,80.8414,35.3613,31.7418
Madhya Pradesh,age_22_25,23,8.8306,92.9018,85.1175,,,,31.0431,68.9569,,
Madhya Pradesh,age_26_29,23,12.1619,,,,,,44.7757,55.2243,,
Madhya Pradesh,age_30_33,23,15.8687,95.1336,92.5309,,,,56.4738,43.5262,,
Madhya Pradesh,age_34_plus,23,22.4752,78.5446,84.139,,,,79.5262,20.4738,,
Madhya Pradesh,age_below10,23,95.8869,0.0,0.0,0.8319,0.4954,32.7985,73.6496,26.3504,32.3031,67.2015
Gujarat,age_10_13,24,24.4162,2.9511,2.3034,1.4115,2.0026,11.5839,4.5528,95.4472,9.5813,88.4161
Gujarat,age_14_17,24,6.1369,14.3599,9.2695,2.2232,12.6149,41.8544,5.6177,94.3823,29.2395,58.1456
Gujarat,age_18_21,24,6.7992,61.4603,45.029,2.5329,21.8098,66.8066,8.5361,91.4639,44.9968,33.1934
Gujarat,age_22_25,24,8.1227,87.0815,76.5943,,,,13.0069,86.9931,,
Gujarat,age_26_29,24,10.896,,,,,,18.6709,81.3291,,
Gujarat,age_30_33,24,14.4872,92.8504,88.768,,,,25.9931,74.0069,,
Gujarat,age_34_plus,24,27.1103,77.8307,83.9369,,,,55.7775,44.2225,,
Gujarat,age_below10,24,94.3492,0.0,0.0,0.6946,0.452,27.7,71.5273,28.4727,27.248,72.3
Daman & Diu,age_10_13,25,18.552,0.7273,0.8591,1.7699,0.0,3.5398,2.2124,97.7876,3.5398,96.4602
Daman & Diu,age_14_17,25,1.0101,9.7902,5.5644,0.0,1.9802,9.901,1.9802,98.0198,7.9208,90.099
Daman & Diu,age_18_21,25,1.5625,48.9726,28.75,0.0,4.5113,28.5714,3.7594,96.2406,24.0602,71.4286
Daman & Diu,age_22_25,25,4.1958,80.5369,63.4551,,,,2.0548,97.9452,,
Daman & Diu,age_26_29,25,2.4735,,,,,,5.0336,94.9664,,
Daman & Diu,age_30_33,25,5.4348,90.8163,87.3921,,,,6.1224,93.8776,,
Daman & Diu,age_34_plus,25,24.0964,68.7845,80.1551,,,,23.5727,76.4273,,
Daman & Diu,age_below10,25,93.3824,0.0,0.0,0.8299,0.0,24.4813,69.161,30.839,24.4813,75.5187
Dadra & Nagar Haveli,age_10_13,26,19.3277,2.0339,1.6529,0.8097,1.2146,6.8826,3.6437,96.3563,5.668,93.1174
Dadra & Nagar Haveli,age_14_17,26,3.211,21.4022,11.9932,1.8018,2.2523,18.018,1.8018,98.1982,15.7658,81.982
